"AK0141","AK0145","AK0164","AK0174","AK0175","AK0144","AK0147","AK0154","AK0155","AK0166","AK0168","AK0139","AK0161","AK0170","AK0200","AK0202","AK0204","AK0135","AK0140","AK0142","AK0157","AK0169"
901.600079,2120.380185,771.980072,267.340031,789.160084,961.500069,264.460034,1515.240116,502.040039,312.440033,256.260025,1845.000126,355.48003,665.540062,590.940049,1898.70015,565.460064,2269.240197,535.24004,449.840042,295.760022,1491.960099
0,438.699986000001,0,0,112.039986,0,0,66.5399399999997,0,0,0,0,0,0,0,929.960053,0,570.020005,0,0,0,0
2735.780204,5406.920526,975.720096,1051.080173,1513.400116,130.22002,0,0,693.840103,0,0,3741.140178,2074.720153,2151.400211,1512.720138,4104.300327,1488.540084,3680.160381,619.360092,0,0,1919.800144
2012.880135,7060.12052,1596.5601,4584.500359,4941.160328,3198.340149,655.640064,728.060055,1919.840149,1556.080105,2779.560207,3472.70023,4076.540306,4501.000267,2603.32016,10015.78084,3740.28025,9578.40064,843.640049,1368.62009,690.960064,4114.74028
4347.440311,10816.240735,3751.120346,7287.160565,5879.000431,4207.340256,1492.800114,1629.380096,2963.220242,2488.48019,2521.120144,9094.060705,6292.360371,7905.740575,3324.720219,15217.861265,7191.800555,12330.680865,2574.760197,3197.560314,2519.220196,6189.50045
0,820.700104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868.12006,1592.160103,336.700031,591.700024,344.52002,453.380043,48.9600029999997,1075.380081,282.680012,213.240048,287.640019,620.140061,661.26006,210.840016,733.740055,1257.700081,619.240044,1661.360096,335.840004,193.260018,103.479984,954.760052
1345.220062,2117.520142,1096.540043,1134.420094,1374.940087,1316.560059,630.200028,2077.240109,101.080006,747.780033,625.740048,1566.100132,1623.360096,1430.680092,977.500054,3544.120232,919.040032,2492.520172,597.34,553.74004,427.600006,1766.400112
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630.660084,0,2435.380272,0,0,0,0
1221.34008,2877.880218,763.420024,1126.520114,1333.700073,641.42004,298.260006,2526.6002,456.82003,1073.560096,931.300079,1705.120124,1259.860115,701.300056,1410.18008,2622.200176,1418.540111,3435.880226,447.840023,501.140037,311.260017,1705.860107
