lipid,type,LogFC_cKO,PValue_cKO,FDR_cKO,LogFC_WT,PValue_WT,FDR_WT,min_PValue,min_FDR,LogFC_difference,LogFC_difference_abs
FA(20:0),FA,7.484843651930787,5.996765241500312e-82,8.97715756652597e-79,9.166301163362837,2.702988465800177e-79,4.046373733302866e-76,5.996765241500312e-82,8.97715756652597e-79,-1.6814575114320496,1.6814575114320496
FA(19:0),FA,-4.0916100616154205,2.2579948255088275e-30,1.6901091268933574e-27,-3.94811635568401,3.2741169445269247e-28,1.6337843553189354e-25,2.2579948255088275e-30,1.6901091268933574e-27,-0.14349370593141053,0.14349370593141053
LPG(19:0),PG,2.6084288899034607,1.8591870544720432e-16,9.277343401815495e-14,0.5409670183510722,0.102383946214141,0.4360768322724271,1.8591870544720432e-16,9.277343401815495e-14,2.0674618715523883,2.0674618715523883
PG(O-20:0),PG,2.593609480497129,2.653505179477313e-16,9.930743134193845e-14,0.5087457368958394,0.1242614896790146,0.4742615245023196,2.653505179477313e-16,9.930743134193845e-14,2.08486374360129,2.08486374360129
FA(18:2),FA,-2.49608228307779,4.136996358359215e-14,1.2386167096927487e-11,-0.5498790920060971,0.0931204900946308,0.4268730328135515,4.136996358359215e-14,1.2386167096927487e-11,-1.9462031910716928,1.9462031910716928
LPS(19:0),PS,2.057912191361752,4.036233361076623e-11,1.0070402235886171e-08,0.429703961180483,0.1934898186340038,0.5670150076801179,4.036233361076623e-11,1.0070402235886171e-08,1.6282082301812693,1.6282082301812693
PS(O-20:0),PS,2.046477090826876,5.0977141075332655e-11,1.0901825741396141e-08,0.3502490111179124,0.2885064722379497,0.6628149516158177,5.0977141075332655e-11,1.0901825741396141e-08,1.6962280797089637,1.6962280797089637
FA(20:3),FA,1.922652521617656,6.004934832820211e-10,1.1236734305914823e-07,2.6472124617011787,1.2485362886154528e-13,3.738117648114665e-11,1.2485362886154528e-13,3.738117648114665e-11,-0.7245599400835228,0.7245599400835228
PI(38:7),PI,1.913078670514318,7.227970564869445e-10,1.202252437289951e-07,1.8436685099045445,9.011720578229517e-08,1.4989495228455098e-05,7.227970564869445e-10,1.202252437289951e-07,0.06941016060977345,0.06941016060977345
FA(20:1),FA,1.7777248210361534,9.273596221565854e-09,1.3882573543684083e-06,7.42077398809975,9.326669566170238e-61,6.981012170278423e-58,9.326669566170238e-61,6.981012170278423e-58,-5.643049167063596,5.643049167063596
[TG(54:7)]_FA16:0,TAG,1.755187927650126,1.398412184372215e-08,1.9031118545501876e-06,1.3453631641477275,7.090269283171414e-05,0.006243607715828,1.398412184372215e-08,1.9031118545501876e-06,0.4098247635023986,0.4098247635023986
[TG(56:8)]_FA18:1,TAG,1.6786780691568233,5.47040791944463e-08,6.824333879507176e-06,1.405849187124668,3.423437394733956e-05,0.0034165905199444,5.47040791944463e-08,6.824333879507176e-06,0.27282888203215516,0.27282888203215516
[TG(56:7)]_FA18:0,TAG,1.6298430577755116,1.2740903914185045e-07,1.467164089195001e-05,1.299677034931939,0.00012095667017252976,0.0100595630693487,1.2740903914185045e-07,1.467164089195001e-05,0.33016602284357255,0.33016602284357255
