lipid,type,LogFC_cKO,PValue_cKO,FDR_cKO,LogFC_WT,PValue_WT,FDR_WT,min_PValue,min_FDR,LogFC_difference,LogFC_difference_abs
PG(18:4),PG,-1.6369048127880577,2.78867264418795e-07,2.981887820249544e-05,-1.4407174048438527,1.2762970069577898e-05,0.0013647261567255,2.78867264418795e-07,2.981887820249544e-05,-0.19618740794420497,0.19618740794420497
LPG(18:4),PG,-1.6178061721494086,3.756807275198933e-07,3.749293660648536e-05,-1.4794839304741365,7.516518451963633e-06,0.0008655560094299661,3.756807275198933e-07,3.749293660648536e-05,-0.13832224167527207,0.13832224167527207
[TG(54:8)]_FA16:1,TAG,1.4596817147810948,2.0717042498252062e-06,0.0001730622535297309,1.0196022341510966,0.0023492454283696,0.1132595631811639,2.0717042498252062e-06,0.0001730622535297309,0.44007948062999813,0.44007948062999813
LPG(21:0),PG,1.4624462505254734,1.9846051609030664e-06,0.0001730622535297309,0.4065735032216262,0.2183812449391758,0.5943778776354984,1.9846051609030664e-06,0.0001730622535297309,1.0558727473038472,1.0558727473038472
PG(20:0),PG,1.4571334856727034,2.1567408969305527e-06,0.0001730622535297309,0.3805814127438162,0.2490342460463199,0.6239623911719968,2.1567408969305527e-06,0.0001730622535297309,1.0765520729288873,1.0765520729288873
PI(O-40:5) | PI(P-40:4),PI,-1.5010664433412428,2.196514907858976e-06,0.0001730622535297309,-0.634840896427679,0.0525752348577135,0.4119553089971299,2.196514907858976e-06,0.0001730622535297309,-0.8662255469135638,0.8662255469135638
FA(15:1),FA,1.42362205841664,3.6227680696026978e-06,0.0002711641900097619,1.889966804726256,4.508477727166318e-08,9.64170165366854e-06,4.508477727166318e-08,9.64170165366854e-06,-0.466344746309616,0.466344746309616
PI(O-42:6),PI,-1.4539866810757769,4.355879814270307e-06,0.00031051200390298334,-0.9259401736792098,0.0047561877595959,0.121224858250885,4.355879814270307e-06,0.00031051200390298334,-0.5280465073965671,0.5280465073965671
PS(O-40:4),PS,1.343831520765458,1.1980283518168858e-05,0.0008152038375772172,1.0050566578330682,0.0027002002853419,0.1154914236330541,1.1980283518168858e-05,0.0008152038375772172,0.3387748629323899,0.3387748629323899
PI(O-40:6) | PI(P-40:5),PI,-1.3219984345773732,2.7213847661452425e-05,0.0017712665195301,-0.4839717781678392,0.1394373583787569,0.5051733263969473,2.7213847661452425e-05,0.0017712665195301,-0.838026656409534,0.838026656409534
LPG(15:0) | PG(O-16:0)_2,PG,1.2801051968420278,3.086831911298221e-05,0.0019254114046722,0.7571380953446444,0.0231468343793219,0.3095440169481116,3.086831911298221e-05,0.0019254114046722,0.5229671014973835,0.5229671014973835
FA(18:1),FA,-1.2775513152114533,4.896810995499229e-05,0.0022720426057769,-2.0392057005238917,1.086389596427052e-09,2.710542043085495e-07,1.086389596427052e-09,2.710542043085495e-07,0.7616543853124385,0.7616543853124385
LPG(18:0) | PG(18:0),PG,1.2570647058711188,4.122018029955233e-05,0.0022720426057769,0.6479406132792848,0.0509525608623617,0.4119553089971299,4.122018029955233e-05,0.0022720426057769,0.6091240925918341,0.6091240925918341
LPI(12:0) | PI(12:0),PI,-1.296131103081351,3.8376873149708657e-05,0.0022720426057769,-0.4002460683551068,0.2216912580318397,0.5947523535370325,3.8376873149708657e-05,0.0022720426057769,-0.8958850347262441,0.8958850347262441
LPI(12:0) | PI(12:0)_3,PI,-1.2902106964638187,4.1487510519182285e-05,0.0022720426057769,-0.3689418903577203,0.2600112216164337,0.6360078411107863,4.1487510519182285e-05,0.0022720426057769,-0.9212688061060984,0.9212688061060984
LPS(21:0),PS,1.252487897299952,4.391773992809023e-05,0.0022720426057769,0.3124097844528021,0.343467416522048,0.7101805559855054,4.391773992809023e-05,0.0022720426057769,0.9400781128471499,0.9400781128471499
PC(32:3),PC,1.2407452652842497,5.16028380737586e-05,0.0022720426057769,0.971987952099361,0.0036842933276347,0.1195242658904361,5.16028380737586e-05,0.0022720426057769,0.2687573131848887,0.2687573131848887
PC(O-34:4),PC,1.251775657573282,4.434046245612152e-05,0.0022720426057769,0.9956914066500144,0.0029507811496005,0.1195242658904361,4.434046245612152e-05,0.0022720426057769,0.2560842509232675,0.2560842509232675
PC(P-32:4),PC,1.2432089786232143,4.988859355690911e-05,0.0022720426057769,0.97280590999825,0.003656414909389,0.1195242658904361,4.988859355690911e-05,0.0022720426057769,0.2704030686249643,0.2704030686249643
PG(38:7),PG,1.2427369945596884,5.021587390446185e-05,0.0022720426057769,0.5767968351003977,0.0818055051007501,0.4119553089971299,5.021587390446185e-05,0.0022720426057769,0.6659401594592907,0.6659401594592907
SM(d18:1/18:1)9Z)),SM,1.245682606454728,4.822232945448214e-05,0.0022720426057769,0.963443857968316,0.0039873213518117,0.1195242658904361,4.822232945448214e-05,0.0022720426057769,0.28223874848641195,0.28223874848641195
PC(O-34:2),PC,1.2325394069879785,5.772509606371002e-05,0.002335526183983,0.9599334168781553,0.0041183097786514,0.1195242658904361,5.772509606371002e-05,0.002335526183983,0.2726059901098232,0.2726059901098232
PC(O-34:3),PC,1.236358385779039,5.47943951568802e-05,0.002335526183983,0.9715407923672016,0.003699608990983,0.1195242658904361,5.47943951568802e-05,0.002335526183983,0.2648175934118374,0.2648175934118374
PS(22:7),PS,1.2334214888821344,5.7048793318828354e-05,0.002335526183983,0.3359294934993934,0.3085568275398576,0.6821101344385458,5.7048793318828354e-05,0.002335526183983,0.897491995382741,0.897491995382741
LPG(18:0) | PG(18:0)_2,PG,1.226741713784825,6.246936697288455e-05,0.0023862406414008,0.682782901968455,0.0398606140056867,0.3982110265122925,6.246936697288455e-05,0.0023862406414008,0.5439588118163701,0.5439588118163701
PC(32:0),PC,1.2263994338839146,6.275135179571152e-05,0.0023862406414008,0.9531857417280316,0.0043812182551471,0.1195242658904361,6.275135179571152e-05,0.0023862406414008,0.273213692155883,0.273213692155883
PC(32:1),PC,1.2252231346982478,6.376060498065037e-05,0.0023862406414008,0.9778808068945792,0.0034877619401392,0.1195242658904361,6.376060498065037e-05,0.0023862406414008,0.2473423278036686,0.2473423278036686
LPI(12:0) | PI(12:0)_2,PI,-1.2527373403189013,6.751931931107305e-05,0.0024652785611872,-0.3542708314828431,0.2794648090949734,0.65391216058176,6.751931931107305e-05,0.0024652785611872,-0.8984665088360582,0.8984665088360582
SM(d18:1/18:0),SM,1.2155589404964555,7.265630143585291e-05,0.0025896781726064,0.9796739267757012,0.0034298976785942,0.1195242658904361,7.265630143585291e-05,0.0025896781726064,0.23588501372075432,0.23588501372075432
PC(32:2),PC,1.2102521401087352,7.803006199492033e-05,0.002711798022316,0.9620111973209337,0.0040403121562228,0.1195242658904361,7.803006199492033e-05,0.002711798022316,0.2482409427878015,0.2482409427878015
SM(d18:0/18:0),SM,1.2086684325451236,7.970548629385944e-05,0.002711798022316,0.957647165509881,0.0042057272347846,0.1195242658904361,7.970548629385944e-05,0.002711798022316,0.2510212670352425,0.2510212670352425
SM(d18:2/18:1),SM,1.2029308993409862,8.606554901130403e-05,0.0028631139304427,0.9694863922602068,0.0037707521314069,0.1195242658904361,8.606554901130403e-05,0.0028631139304427,0.23344450708077935,0.23344450708077935
PC(34:5),PC,1.2006039975161864,8.877860572960039e-05,0.0028891646255915,0.877160079083822,0.008601416726336,0.1747892531398353,8.877860572960039e-05,0.0028891646255915,0.3234439184323644,0.3234439184323644
[TG(50:3)]_FA18:0,TAG,-1.2247821994477557,9.641649224198184e-05,0.0030709678486435,-0.690147706831045,0.0351226774767156,0.3982110265122925,9.641649224198184e-05,0.0030709678486435,-0.5346344926167107,0.5346344926167107
LPS(18:0) | PS(18:0),PS,1.1894908211150073,0.00010291102314459604,0.003209537534322,-0.0201151044960316,0.9511456450156373,0.994176980824487,0.00010291102314459604,0.003209537534322,1.2096059256110387,1.2096059256110387
LPS(18:0) | PS(18:0)_2,PS,1.1874103723131346,0.0001057808430081,0.0032317126935343,-0.0290092237982262,0.9295854262905178,0.9909330421616108,0.0001057808430081,0.0032317126935343,1.2164195961113609,1.2164195961113609
FA(24:5),FA,-1.2117072059708334,0.00011364667470689976,0.0032754155206023,0.4944800579657631,0.1350476319421467,0.4967231081508442,0.00011364667470689976,0.0032754155206023,-1.7061872639365965,1.7061872639365965
PC(32:4),PC,1.1818777010856367,0.00011377528862479916,0.0032754155206023,0.943678582242375,0.0047777332243167,0.121224858250885,0.00011377528862479916,0.0032754155206023,0.23819911884326173,0.23819911884326173
PC(34:4),PC,1.1819342393092485,0.0001136885344438216,0.0032754155206023,0.8295779469339564,0.0128436331669401,0.2121666904591862,0.0001136885344438216,0.0032754155206023,0.3523562923752921,0.3523562923752921
PC(O-34:1),PC,1.1793582822813264,0.00011760687579094326,0.00332183949168,0.9662488937608692,0.0038854064179403,0.1195242658904361,0.00011760687579094326,0.00332183949168,0.21310938852045724,0.21310938852045724
[TG(48:2)]_FA18:0,TAG,-1.2057294647068968,0.00012247817625549794,0.0033953672195274,-0.6445142861485891,0.0490817831117783,0.4059415984438246,0.00012247817625549794,0.0033953672195274,-0.5612151785583077,0.5612151785583077
[TG(52:2)]_FA18:0,TAG,-1.1989983012716106,0.00013319177273705523,0.0036252378870431,-0.627895571489235,0.0552116755873759,0.4119553089971299,0.00013319177273705523,0.0036252378870431,-0.5711027297823755,0.5711027297823755
PS(38:7),PS,1.1668706091105083,0.00013848025856622945,0.0037018740548865,0.534599166211847,0.1064359220599216,0.4420249299085382,0.00013848025856622945,0.0037018740548865,0.6322714428986613,0.6322714428986613
[TG(50:4)]_FA18:1,TAG,-1.1915384906550348,0.00014609984638195293,0.003837043333926,-0.6813007251558258,0.0375264093141668,0.3982110265122925,0.00014609984638195293,0.003837043333926,-0.510237765499209,0.510237765499209
[TG(48:3)]_FA18:1,TAG,-1.1848635422538338,0.0001586473514932199,0.0040427682313995,-0.6560020709300995,0.0451881608506967,0.3982110265122925,0.0001586473514932199,0.0040427682313995,-0.5288614713237343,0.5288614713237343
PC(O-34:0),PC,1.1560535097003282,0.0001593342188727948,0.0040427682313995,0.9520726337270172,0.0044260313954721,0.1195242658904361,0.0001593342188727948,0.0040427682313995,0.20398087597331094,0.20398087597331094
Cer(d18:2/16:0),Cer,1.1516096834154437,0.00016934713330279215,0.0041651307371805,0.8110745418392721,0.0149669369909958,0.233275099411408,0.00016934713330279215,0.0041651307371805,0.3405351415761716,0.3405351415761716
SM(d18:2/20:1),SM,1.1511567597637669,0.0001697214261643363,0.0041651307371805,0.7886429016756514,0.0178955357189846,0.2678961697132002,0.0001697214261643363,0.0041651307371805,0.3625138580881154,0.3625138580881154
[TG(52:3)]_FA18:1,TAG,-1.1710229793455604,0.00018799518755930345,0.0045244648072436,-0.5726117260064222,0.0803693767255965,0.4119553089971299,0.00018799518755930345,0.0045244648072436,-0.5984112533391382,0.5984112533391382
LPS(18:4),PS,-1.1693090039459997,0.00019197728811998232,0.0045244648072436,-1.118808431712655,0.0006622424308908281,0.0450625872292531,0.00019197728811998232,0.0045244648072436,-0.0505005722333447,0.0505005722333447
PI(P-42:6),PI,-1.1686782863861476,0.0001934306931620548,0.0045244648072436,-0.577161666729926,0.0779939900207665,0.4119553089971299,0.0001934306931620548,0.0045244648072436,-0.5915166196562216,0.5915166196562216
PG(O-38:0),PG,1.1356382485285228,0.00020704707825894595,0.0047684534792868,0.4955044292532661,0.1342505081146041,0.4950074153880847,0.00020704707825894595,0.0047684534792868,0.6401338192752567,0.6401338192752567
LPS(18:4)_2,PS,-1.154510410561924,0.00022974340080638236,0.0052109980455629,-1.121582579909988,0.0006423184293259121,0.0450625872292531,0.00022974340080638236,0.0052109980455629,-0.03292783065193583,0.03292783065193583
PC(34:3),PC,1.1156162439726118,0.0002666549114027459,0.0058703294466163,0.784914780045096,0.0184331684164679,0.2732124071232916,0.0002666549114027459,0.0058703294466163,0.33070146392751587,0.33070146392751587
PI(34:5),PI,-1.1422903227795853,0.0002661730656355943,0.0058703294466163,-0.5233177289539922,0.1100351568875554,0.4497639954022154,0.0002661730656355943,0.0058703294466163,-0.6189725938255931,0.6189725938255931
PS(O-38:0),PS,1.1121621773781407,0.0002784672979743956,0.0060415296386618,0.5146415548716174,0.1199965936760189,0.4653753905000011,0.0002784672979743956,0.0060415296386618,0.5975206225065233,0.5975206225065233
[TG(58:7)]_FA20:0,TAG,1.1045116849630707,0.00030635685192383305,0.0065516601047139,0.2410005778506736,0.4643883868432571,0.795411230096517,0.00030635685192383305,0.0065516601047139,0.8635111071123971,0.8635111071123971
[TG(50:4)]_FA18:0,TAG,-1.1262744320039757,0.0003220699694104224,0.0067830145817611,-0.6823943187199342,0.0372227251968415,0.3982110265122925,0.0003220699694104224,0.0067830145817611,-0.44388011328404153,0.44388011328404153
FA(22:1),FA,-1.1235704764978076,0.0003325080406331009,0.0067830145817611,0.6597519462773113,0.046928774778076,0.3982110265122925,0.0003325080406331009,0.0067830145817611,-1.783322422775119,1.783322422775119
LPI(22:4) | PI(22:4),PI,-1.1220382203792696,0.0003386788651746498,0.0067830145817611,-0.3570078465921265,0.2757704083344452,0.6497199740828892,0.0003386788651746498,0.0067830145817611,-0.7650303737871431,0.7650303737871431
PC(34:6),PC,1.0973849489771517,0.0003346775658830532,0.0067830145817611,0.901701935410508,0.0069498462770263,0.1552823862195297,0.0003346775658830532,0.0067830145817611,0.19568301356664364,0.19568301356664364
PS(O-40:1),PS,1.0961556351582695,0.0003398303898677921,0.0067830145817611,0.4426754993803701,0.1804849912034405,0.5545368567360534,0.0003398303898677921,0.0067830145817611,0.6534801357778994,0.6534801357778994
[TG(52:6)]_FA20:4,TAG,-1.119072499309186,0.0003506623802245396,0.0068433836459243,-0.6078934423710939,0.0634243841973805,0.4119553089971299,0.0003506623802245396,0.0068433836459243,-0.5111790569380922,0.5111790569380922
LPI(22:4) | PI(22:4)_2,PI,-1.1187704729834649,0.00035199768920252177,0.0068433836459243,-0.3491587017409657,0.286478096525859,0.6607977049294469,0.00035199768920252177,0.0068433836459243,-0.7696117712424992,0.7696117712424992
[TG(56:1)]_FA16:1,TAG,-1.1130996729330325,0.000376173634046479,0.0072196401303535,-0.6644684126974397,0.042487356483641,0.3982110265122925,0.000376173634046479,0.0072196401303535,-0.44863126023559274,0.44863126023559274
[TG(56:0)]_FA16:0,TAG,-1.1013224837993634,0.0004317309061053011,0.0081810274232865,-0.667126148538121,0.04166864584027,0.3982110265122925,0.0004317309061053011,0.0081810274232865,-0.43419633526124235,0.43419633526124235
[TG(54:6)]_FA20:4,TAG,-1.0851700379887377,0.0005206034221241425,0.0096215225051832,-0.511461133705428,0.1183242133968115,0.4612795506641325,0.0005206034221241425,0.0096215225051832,-0.5737089042833097,0.5737089042833097
PI(42:11),PI,-1.0862603748329598,0.000514176903678596,0.0096215225051832,-0.6003626245330076,0.0667717749097828,0.4119553089971299,0.000514176903678596,0.0096215225051832,-0.4858977502999522,0.4858977502999522
PE(22:2),PE,-1.0828383644852473,0.00053484052764667,0.0096986346438586,-1.024029034393616,0.0018120664657016,0.0935401206605303,0.00053484052764667,0.0096986346438586,-0.05880933009163125,0.05880933009163125
SM(d16:1/22:1),SM,1.058503214602471,0.0005377332501271,0.0096986346438586,0.6603817902756531,0.0467218855071909,0.3982110265122925,0.0005377332501271,0.0096986346438586,0.39812142432681796,0.39812142432681796
SM(d18:1/24:0),SM,1.0544137546754648,0.0005647704880590436,0.0100650169121951,0.6611919092419135,0.04645726040313,0.3982110265122925,0.0005647704880590436,0.0100650169121951,0.3932218454335513,0.3932218454335513
PG(O-40:1),PG,1.0496113023907634,0.0005981863980176223,0.0105351180921456,0.3908121559728336,0.2366144608712327,0.6132792316751677,0.0005981863980176223,0.0105351180921456,0.6587991464179298,0.6587991464179298
[TG(58:2)]_FA18:2,TAG,-1.0688483575547176,0.0006275459333754157,0.010703798451494,-0.5685110362180412,0.0825561741477214,0.4119553089971299,0.0006275459333754157,0.010703798451494,-0.5003373213366764,0.5003373213366764
PC(38:0),PC,1.0453590933437358,0.0006292146050310477,0.010703798451494,0.6784722658772165,0.0411078675678019,0.3982110265122925,0.0006292146050310477,0.010703798451494,0.36688682746651924,0.36688682746651924
PE(36:4),PE,1.0466521473660375,0.0006197456813905133,0.010703798451494,0.3700250233678452,0.2623120091799485,0.6388314102355626,0.0006197456813905133,0.010703798451494,0.6766271239981922,0.6766271239981922
PC(O-40:3),PC,1.0425624389488444,0.0006504682799575441,0.0108194557232938,0.5992273825524884,0.0707448987196244,0.4119553089971299,0.0006504682799575441,0.0108194557232938,0.44333505639635595,0.44333505639635595
PI(40:0),PI,-1.065812712823155,0.0006495887937811118,0.0108194557232938,-0.6553057680181176,0.0454150466122063,0.3982110265122925,0.0006495887937811118,0.0108194557232938,-0.41050694480503735,0.41050694480503735
PC(P-40:6),PC,1.041453853126779,0.0006590753057230258,0.0108421509084326,0.6687346596202286,0.044053559689211,0.3982110265122925,0.0006590753057230258,0.0108421509084326,0.37271919350655036,0.37271919350655036
[TG(48:3)]_FA18:0,TAG,-1.060729355794732,0.0006882087423191874,0.0110187907314827,-0.6792130556059764,0.0381141728735588,0.3982110265122925,0.0006882087423191874,0.0110187907314827,-0.3815163001887555,0.3815163001887555
[TG(58:0)]_FA18:0,TAG,-1.0538855423849722,0.0007434187467466658,0.0110187907314827,-0.6234900263055781,0.0569381557685493,0.4119553089971299,0.0007434187467466658,0.0110187907314827,-0.4303955160793941,0.4303955160793941
[TG(58:1)]_FA18:1,TAG,-1.0567118885868327,0.000720102493898534,0.0110187907314827,-0.5814499042001535,0.0758100973170595,0.4119553089971299,0.000720102493898534,0.0110187907314827,-0.4752619843866792,0.4752619843866792
PC(36:8),PC,1.0315621936240222,0.0007407285104351674,0.0110187907314827,0.7006953039515758,0.0350101013881587,0.3982110265122925,0.0007407285104351674,0.0110187907314827,0.3308668896724465,0.3308668896724465
PC(38:1),PC,1.0348269294508858,0.0007127919846723781,0.0110187907314827,0.6844791248320452,0.0393761026925069,0.3982110265122925,0.0007127919846723781,0.0110187907314827,0.35034780461884063,0.35034780461884063
PC(38:2),PC,1.0390180850532909,0.0006783638256430825,0.0110187907314827,0.6584039150430583,0.0473735112788161,0.3982110265122925,0.0006783638256430825,0.0110187907314827,0.38061417001023257,0.38061417001023257
PC(O-36:4),PC,1.0317737825752369,0.0007388879879213195,0.0110187907314827,0.6470950025671846,0.0512490165976312,0.4119553089971299,0.0007388879879213195,0.0110187907314827,0.38467878000805233,0.38467878000805233
PE(20:1),PE,1.0320981297294254,0.0007362484817103285,0.0110187907314827,0.4225664970243815,0.200934987582624,0.5751427847250252,0.0007362484817103285,0.0110187907314827,0.609531632705044,0.609531632705044
PS(O-38:3)_2,PS,1.036319154088566,0.0007003881607222902,0.0110187907314827,0.437108485369814,0.1859812827274569,0.5590642173554279,0.0007003881607222902,0.0110187907314827,0.599210668718752,0.599210668718752
SM(d18:0/24:0),SM,1.0371084706463125,0.000693853547009874,0.0110187907314827,0.6723355055422914,0.0429439577370549,0.3982110265122925,0.000693853547009874,0.0110187907314827,0.36477296510402113,0.36477296510402113
PC(O-36:1),PC,1.028330931719358,0.0007693834147425248,0.0112918330575447,0.7112298313798039,0.0324030532409055,0.3982110265122925,0.0007693834147425248,0.0112918330575447,0.3171011003395542,0.3171011003395542
LPG(15:0) | PG(O-16:0),PG,1.0266939641879782,0.0008013963222428131,0.0115824382894043,0.82417575798968,0.0135892177917488,0.2187425702607322,0.0008013963222428131,0.0115824382894043,0.2025182061982982,0.2025182061982982
PC(34:2),PC,1.0245040398119534,0.0008046583714749814,0.0115824382894043,0.6234886410219163,0.0602074769315442,0.4119553089971299,0.0008046583714749814,0.0115824382894043,0.4010153987900371,0.4010153987900371
[TG(52:4)]_FA18:2,TAG,-1.0386978204784414,0.0008813619313802859,0.0121157115849696,-0.3363728097011971,0.3045091369752959,0.6813904006756623,0.0008813619313802859,0.0121157115849696,-0.7023250107772443,0.7023250107772443
[TG(54:0)]_FA16:1,TAG,-1.038966419565074,0.0008786489878493465,0.0121157115849696,-0.3919279751594519,0.2314531750737475,0.6099152507502542,0.0008786489878493465,0.0121157115849696,-0.6470384444056222,0.6470384444056222
PC(34:0),PC,1.0172613564767723,0.0008755701526810691,0.0121157115849696,0.6340323713121588,0.0560559294207466,0.4119553089971299,0.0008755701526810691,0.0121157115849696,0.38322898516461346,0.38322898516461346
PC(36:7),PC,1.0142761441667514,0.000906452703751906,0.0121157115849696,0.6873618787578147,0.0385673951441419,0.3982110265122925,0.000906452703751906,0.0121157115849696,0.32691426540893664,0.32691426540893664
PC(P-36:5),PC,1.0148504293691818,0.0009004365296326228,0.0121157115849696,0.6229258459262449,0.0604361163244172,0.4119553089971299,0.0009004365296326228,0.0121157115849696,0.3919245834429369,0.3919245834429369
PS(O-40:0),PS,1.0160844428435758,0.0008876834556405922,0.0121157115849696,0.5251091782381933,0.112723104063147,0.4524034498191184,0.0008876834556405922,0.0121157115849696,0.49097526460538254,0.49097526460538254
PS(O-40:5),PS,1.0163781286758888,0.0008846768535984961,0.0121157115849696,0.6455218301965546,0.0518102298073576,0.4119553089971299,0.0008846768535984961,0.0121157115849696,0.3708562984793342,0.3708562984793342
SM(d18:1/20:0),SM,1.0145181441550142,0.0009039161138812028,0.0121157115849696,0.6333543007915959,0.0563154873382143,0.4119553089971299,0.0009039161138812028,0.0121157115849696,0.38116384336341824,0.38116384336341824
[TG(56:0)]_FA18:1,TAG,-1.0330091433254365,0.0009388063783883756,0.012437107508384,-0.3039954440564403,0.3534802276435687,0.7216802274759692,0.0009388063783883756,0.012437107508384,-0.7290136992689962,0.7290136992689962
PC(O-40:6),PC,1.0100485512283093,0.0009519357606010574,0.0125004195931559,0.6251057225753739,0.0595545545859826,0.4119553089971299,0.0009519357606010574,0.0125004195931559,0.3849428286529354,0.3849428286529354
PC(34:1),PC,1.0059159089669143,0.000998431289742253,0.0129969707890795,0.6327397479399441,0.0565515847345349,0.4119553089971299,0.000998431289742253,0.0129969707890795,0.37317616102697015,0.37317616102697015
[TG(56:1)]_FA18:2,TAG,-1.024582270822924,0.001030489670128,0.0131831391430348,-0.2975747560627828,0.3637533789566866,0.7250849644449532,0.001030489670128,0.0131831391430348,-0.7270075147601411,0.7270075147601411
PC(40:7),PC,1.0024414233010637,0.0010391519164182,0.0131831391430348,0.5519251590393353,0.0956839780836819,0.4301468924662817,0.0010391519164182,0.0131831391430348,0.4505162642617284,0.4505162642617284
PC(O-40:4),PC,1.0024992750934614,0.0010384596235169,0.0131831391430348,0.5939095028549626,0.0732480786133743,0.4119553089971299,0.0010384596235169,0.0131831391430348,0.4085897722384988,0.4085897722384988
SM(d18:1/24:1)15Z)),SM,1.0016660990705002,0.0010484398613436,0.0131891972473232,0.6289939011688731,0.0580087450984568,0.4119553089971299,0.0010484398613436,0.0131891972473232,0.3726721979016271,0.3726721979016271
SM(d18:0/20:0),SM,0.9996508444324502,0.0010729599159283,0.0132745536706171,0.6381512859841719,0.0545008576193535,0.4119553089971299,0.0010729599159283,0.0132745536706171,0.3614995584482783,0.3614995584482783
SM(d18:2/22:1),SM,1.0000501981696914,0.0010680496701748,0.0132745536706171,0.5982712721010376,0.0711893629667064,0.4119553089971299,0.0010680496701748,0.0132745536706171,0.40177892606865384,0.40177892606865384
PC(O-36:3),PC,0.9979207880531656,0.0010944326901345,0.0133200466433453,0.6057127958532864,0.0677884330412828,0.4119553089971299,0.0010944326901345,0.0133200466433453,0.39220799219987923,0.39220799219987923
PC(O-36:5),PC,0.9985433754452376,0.0010866585599758,0.0133200466433453,0.6359069951043876,0.0553435926801016,0.4119553089971299,0.0010866585599758,0.0133200466433453,0.36263638034085,0.36263638034085
[TG(52:6)]_FA18:1,TAG,-1.0166847304980824,0.0011241343862965,0.0134031967247104,-0.8800584233269916,0.0072729006560456,0.1555361754585757,0.0011241343862965,0.0134031967247104,-0.1366263071710908,0.1366263071710908
PC(40:10),PC,0.9940014911627526,0.0011445632191935,0.0134031967247104,0.59871660949629,0.0709822066384775,0.4119553089971299,0.0011445632191935,0.0134031967247104,0.3952848816664626,0.3952848816664626
PC(O-36:0),PC,0.994496624411798,0.0011381073221644,0.0134031967247104,0.6595120556612294,0.0470074349874048,0.3982110265122925,0.0011381073221644,0.0134031967247104,0.3349845687505686,0.3349845687505686
PC(O-36:2),PC,0.9938889469452454,0.0011460315168757,0.0134031967247104,0.6096567155861605,0.0660413058560435,0.4119553089971299,0.0011460315168757,0.0134031967247104,0.3842322313590849,0.3842322313590849
PC(O-40:0),PC,0.994102017711212,0.0011432532570018,0.0134031967247104,0.5416482625152629,0.1019494512039751,0.4360768322724271,0.0011432532570018,0.0134031967247104,0.4524537551959491,0.4524537551959491
