"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"PC(P-40:6)","NA","NA","NA","NA","NA","0"
"PG(34:4)","PG(16:1(9Z)/18:3(6Z,9Z,12Z))","HMDB0010591","52926477",NA,"CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PG(34:5)","NA","NA","NA","NA","NA","0"
"PG(40:0)","NA","NA","NA","NA","NA","0"
"PG(P-42:6)","NA","NA","NA","NA","NA","0"
"PG(P-42:6)_2","NA","NA","NA","NA","NA","0"
"PI(40:0)","NA","NA","NA","NA","NA","0"
"PS(38:3)","PS(18:0/20:3(8Z,11Z,14Z))","HMDB0012382","52925994",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"SM(d16:1/22:1)","NA","NA","NA","NA","NA","0"
"SM(d18:0/24:0)","SM(d18:0/24:0)","HMDB0012094","44260134","C00550","CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](CCCCCCCCCCCCCCC)O","1"
"SM(d18:1/24:0)","SM(d18:1/24:0)","HMDB0011697","5283595",NA,"CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)(O)OCC[N+](C)(C)C)[C@@H](/C=C/CCCCCCCCCCCCC)O","1"
"TG(48:2)","TG(16:0/16:1(9Z)/16:1(9Z))","HMDB0005376","100981287","C00422","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PG(38:3)","PG(18:0/20:3(5Z,8Z,11Z))","HMDB0010608","53480611",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC","1"
"(7Z,10Z)-hexadecadienoylcarnitine","NA","NA","NA","NA","NA","0"
"TG(48:1)","TG(16:0/16:0/16:1(9Z))","HMDB0005359","131750336","C00422","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"TG(52:0)","TG(16:0/16:0/20:0)","HMDB0005358","9544047","C00422","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"TG(52:1)","TG(16:0/16:0/20:1(11Z))","HMDB0005361","131750337","C00422","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"TG(52:2)","TG(16:0/18:0/18:2(9Z,12Z))","HMDB0005369","131750341","C00422","CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"TG(52:4)","TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))","HMDB0005363","131750338","C00422","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"TG(56:2)","TG(16:0/20:1(11Z)/20:1(11Z))","HMDB0005386","131750355","C00422","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"TG(58:0)","TG(18:0/20:0/20:0)","HMDB0005399","131750365","C00422","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC","1"
"TG(58:10)","TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0005476","131750428","C00422","CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"TG(58:2)","TG(18:0/20:1(11Z)/20:1(11Z))","HMDB0005407","131750370","C00422","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"TG(58:4)","TG(18:0/20:0/20:4(5Z,8Z,11Z,14Z))","HMDB0005401","131750367","C00422","CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"TG(58:5)","TG(18:0/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0005408","131750371","C00422","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"TG(58:8)","TG(18:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0005413","131750375","C00422","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"TG(60:1)","TG(20:0/20:0/20:1(11Z))","HMDB0005415","131750376","C00422","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC","1"
"TG(60:11)","TG(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0010526","53480569",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"TG(60:12)","TG(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0005478","9545801","C00422","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC(OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"TG(60:6)","TG(20:1(11Z)/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0005465","131750418","C00422","CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"TG(60:7)","NA","NA","NA","NA","NA","0"
"TG(60:8)","TG(20:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0005420","131750380","C00422","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"TG(60:9)","TG(20:1(11Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0005466","131750419","C00422","CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"20:0 Campesteryl ester","NA","NA","NA","NA","NA","0"
"20:1 Campesteryl ester","NA","NA","NA","NA","NA","0"
"20:3 Campesteryl ester","NA","NA","NA","NA","NA","0"
"CE(14:0)","CE(14:0)","HMDB0006725","99486",NA,"CCCCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C","1"
"CE(22:5)","CE(22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0010374","53480462",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)CCC4[C@H](C)CCCC(C)C)C)C","1"
"CE(22:6)","CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0006733","53477890","C02530","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)CCC4[C@H](C)CCCC(C)C)C)C","1"
"Cer(d18:0/20:0(2OH))","NA","NA","NA","NA","NA","0"
"Cer(d18:0/20:0)","Cer(d18:0/20:0)","HMDB0011764","5283574",NA,"CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](CCCCCCCCCCCCCCC)O","1"
"Cer(d18:0/22:0(2OH))","NA","NA","NA","NA","NA","0"
"Cer(d18:0/24:0)","Cer(d18:0/24:0)","HMDB0011768","5283577",NA,"CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](CCCCCCCCCCCCCCC)O","1"
"Cer(d18:1/12:0)","Ceramide (d18:1/12:0)","HMDB0004947","5283562","C00195","CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)NC(=O)CCCCCCCCCCC)O","1"
"Cer(d18:1/26:1(17Z))","NA","NA","NA","NA","NA","0"
"Cer(d18:2/14:0)","NA","NA","NA","NA","NA","0"
"Cer(t18:0/16:0(2OH))","NA","NA","NA","NA","NA","0"
"Cer(t18:0/20:0(2OH))","NA","NA","NA","NA","NA","0"
"Cer(t18:0/22:0(2OH))","NA","NA","NA","NA","NA","0"
"Cer(t18:0/24:0(2OH))","NA","NA","NA","NA","NA","0"
"CerP(d18:1/22:0)","CerP(d18:1/22:0)","HMDB0010703","5283585",NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)(O)O)[C@@H](/C=C/CCCCCCCCCCCCC)O","1"
"CerP(d18:1/8:0)","NA","NA","NA","NA","NA","0"
"Cholesteryl nitrolinoleate","NA","NA","NA","NA","NA","0"
"FA(12:1)","NA","NA","NA","NA","NA","0"
"FA(17:1)","NA","NA","NA","NA","NA","0"
"lanosteryl oleate","NA","NA","NA","NA","NA","0"
"20:2 Campesteryl ester","NA","NA","NA","NA","NA","0"
"LPE(18:3)","LysoPE(0:0/18:3(6Z,9Z,12Z))","HMDB0011478","53480927",NA,"CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN","1"
"LPG(14:0)","NA","NA","NA","NA","NA","0"
"PG(18:0)","NA","NA","NA","NA","NA","0"
"LPG(20:5)","NA","NA","NA","NA","NA","0"
"PG(20:5)_2","NA","NA","NA","NA","NA","0"
"LPI(18:3)","NA","NA","NA","NA","NA","0"
"PI(18:3)","NA","NA","NA","NA","NA","0"
"PI(18:3)_2","NA","NA","NA","NA","NA","0"
"LPS(12:0)","NA","NA","NA","NA","NA","0"
"LPS(14:0)","NA","NA","NA","NA","NA","0"
"O-(13-carboxytridecanoyl)carnitine","NA","NA","NA","NA","NA","0"
"O-palmitoleoylcarnitine","NA","NA","NA","NA","NA","0"
"trans-Hexadec-2-enoyl carnitine","trans-Hexadec-2-enoyl carnitine","HMDB0006317","53477817",NA,"CCCCCCCCCCCCC/C=C/C(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"PC(34:0)","PC(14:0/20:0)","HMDB0007878","24778633","C00157","CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(34:1)","PC(14:0/20:1(11Z))","HMDB0007879","52922226","C00157","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"PC(34:2)","PC(14:0/20:2(11Z,14Z))","HMDB0007880","52922228","C00157","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC","1"
"PC(36:4)","PC(14:0/22:4(7Z,10Z,13Z,16Z))","HMDB0007889","52922238","C00157","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(36:5)","PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0007890","53478611","C00157","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(36:6)","PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0007892","24778639","C00157","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(38:7)","PC(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0008023","24778773","C00157","CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(38:8)","PC(18:3(6Z,9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB0008182","52922807","C00157","CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(40:10)","PC(18:4(6Z,9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0008255","52922939","C00157","CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(O-36:2)","PC(o-18:0/18:2(9Z,12Z))","HMDB0013418","6443070",NA,"CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"PC(O-36:3)","PC(o-18:1(11Z)/18:2(9Z,12Z))","HMDB0013425","53481721",NA,"CCCCCC/C=C\CCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"PC(O-36:4)","PC(o-16:0/20:4(8Z,11Z,14Z,17Z))","HMDB0013407","53481701",NA,"CCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(O-36:5)","PC(o-16:1(9Z)/20:4(8Z,11Z,14Z,17Z))","HMDB0013415","53481713",NA,"CCCCCC/C=C\CCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(O-38:0)","PC(o-16:0/22:0)","HMDB0013408","24779301",NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(O-38:1)","PC(o-16:1(9Z)/22:0)","HMDB0013416","53481715",NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COCCCCCCCC/C=C\CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(O-40:2)","PC(o-18:2(9Z,12Z)/22:0)","HMDB0013437","53481739",NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COCCCCCCCC/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(O-40:3)","PC(o-22:0/18:3(6Z,9Z,12Z))","HMDB0013445","53481745",NA,"CCCCCCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(O-40:4)","PC(o-20:0/20:4(8Z,11Z,14Z,17Z))","HMDB0013442","52923852",NA,"CCCCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(O-40:5)","PC(o-20:1(11Z)/20:4(8Z,11Z,14Z,17Z))","HMDB0013444","53481743",NA,"CCCCCCCC/C=C\CCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(O-40:6)","PC(o-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0013422","24779341",NA,"CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(P-36:5)","NA","NA","NA","NA","NA","0"
"PE(O-18:1)","NA","NA","NA","NA","NA","0"
"PG(38:7)","PG(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0010599","52927163",NA,"CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PI(38:5)","PI(16:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0009795",NA,"C00626","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"PI(40:1)","NA","NA","NA","NA","NA","0"
"PI(42:11)","NA","NA","NA","NA","NA","0"
"PI(O-20:5)","NA","NA","NA","NA","NA","0"
"PI(O-40:5)","NA","NA","NA","NA","NA","0"
"PI(P-40:4)","NA","NA","NA","NA","NA","0"
"PI(O-42:4)","NA","NA","NA","NA","NA","0"
"PI(P-42:6)","NA","NA","NA","NA","NA","0"
"PS(34:5)_2","NA","NA","NA","NA","NA","0"
"PS(40:0)","NA","NA","NA","NA","NA","0"
"PS(P-42:6)","NA","NA","NA","NA","NA","0"
"PS(P-42:6)_2","NA","NA","NA","NA","NA","0"
"PS(O-40:5)","NA","NA","NA","NA","NA","0"
"SM(d18:0/20:0)","SM(d18:0/20:0)","HMDB0012090","44260131","C00550","CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](CCCCCCCCCCCCCCC)O","1"
"SM(d18:0/22:0)","SM(d18:0/22:0)","HMDB0012091","44260132","C00550","CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](CCCCCCCCCCCCCCC)O","1"
"SM(d18:1/20:0)","SM(d18:1/20:0)","HMDB0012102","44260124","C00550","CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](/C=C/CCCCCCCCCCCCC)O","1"
"SM(d18:1/24:1)15Z))","NA","NA","NA","NA","NA","0"
"SM(d18:2/22:1)","NA","NA","NA","NA","NA","0"
"SM(d18:2/24:1)","NA","NA","NA","NA","NA","0"
"LPC(7:0)","NA","NA","NA","NA","NA","0"
"PG(20:5)","NA","NA","NA","NA","NA","0"
"PC(38:9)","PC(18:4(6Z,9Z,12Z,15Z)/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB0008248","52922927","C00157","CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(40:9)","PC(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0008189","52922819","C00157","CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"LPG(20:2)","NA","NA","NA","NA","NA","0"
"PG(20:2)","NA","NA","NA","NA","NA","0"
"PC(40:8)","PC(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0008156","24778983","C00157","CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"CE(14:1)","CE(14:1(9Z))","HMDB0010367","53480456",NA,"CCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)CCC4[C@H](C)CCCC(C)C)C)C","1"
"TG(60:2)","TG(20:0/20:1(11Z)/20:1(11Z))","HMDB0005418","131750378","C00422","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"CE(20:2)","NA","NA","NA","NA","NA","0"
"18:1 Stigmasteryl ester","NA","NA","NA","NA","NA","0"
"18:2 Sitosteryl ester","NA","NA","NA","NA","NA","0"
"PC(O-38:2)","PC(o-18:1(9Z)/20:1(11Z))","HMDB0013431","53481729",NA,"CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COCCCCCCCC/C=C\CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"Cer(d18:1/16:0)","Ceramide (d18:1/16:0)","HMDB0004949","5283564","C00195","CCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCCCC)O","1"
"FA(18:2)","NA","NA","NA","NA","NA","0"
"LPC(20:0)","LysoPC(20:0)","HMDB0010390","24779473","C04230","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","1"
"PC(32:5)","PC(14:1(9Z)/18:4(6Z,9Z,12Z,15Z))","HMDB0007910","52922270","C00157","CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(36:0)","PC(14:0/22:0)","HMDB0007886","24778638","C00157","CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(P-38:6)","NA","NA","NA","NA","NA","0"
"PC(36:3)","PC(14:1(9Z)/22:2(13Z,16Z))","HMDB0007921","52922294","C00157","CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(52:0)","NA","NA","NA","NA","NA","0"
"PC(O-40:1)","PC(o-18:1(9Z)/22:0)","HMDB0013433","53481731",NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COCCCCCCCC/C=C\CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PE(20:5)","NA","NA","NA","NA","NA","0"
"SM(d16:1/24:1)","NA","NA","NA","NA","NA","0"
"Cer(d18:1/26:0)","Cer(d18:1/26:0)","HMDB0004955","5283570","C00195","CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCCCC)O","1"
"PC(P-38:6)_2","NA","NA","NA","NA","NA","0"
"PC(36:1)","PC(14:0/22:1(13Z))","HMDB0007887","53478609","C00157","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC","1"
"PC(40:7)","PC(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0008090","24778901","C00157","CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"TG(56:5)","TG(16:0/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0005387","131750356","C00422","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"19:0 Campesteryl ester_simulated","NA","NA","NA","NA","NA","0"
"CE(20:0)","CE(20:0)","HMDB0006740","53477894","C02530","CCCCCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)CCC4[C@H](C)CCCC(C)C)C)C","1"
"18:0 Sitosteryl ester_2","NA","NA","NA","NA","NA","0"
"CE(20:1)","CE(20:1(11Z))","HMDB0005193","53477794","C02530","CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)CCC4[C@H](C)CCCC(C)C)C)C","1"
"18:0 Stigmasteryl ester","NA","NA","NA","NA","NA","0"
"18:1 Sitosteryl ester","NA","NA","NA","NA","NA","0"
"PG(P-34:4)","NA","NA","NA","NA","NA","0"
"PI(42:3)","NA","NA","NA","NA","NA","0"
"PC(O-38:3)","PC(o-20:0/18:3(6Z,9Z,12Z))","HMDB0013439","52923834",NA,"CCCCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(38:5)","PC(16:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0007989","24778735","C00157","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
