type,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,max,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy
Cer,2241748.999,5247377.242,5247377.242,0.4272132335,1
SM,46054535.44,59476154.82,59476154.82,0.7743361281,1
