type,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,max,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy
Cer,3831989.168,5638397.967,5638397.967,0.6796237496,1
SM,54579777.1,45025210.39,54579777.1,1,0.8249430976
