lipid,type,LogFC_cKO,PValue_cKO,FDR_cKO,LogFC_WT,PValue_WT,FDR_WT,min_PValue,min_FDR,LogFC_difference,LogFC_difference_abs,LogFC_injured_comparison,PValue_injured_comparison,FDR_injured_comparison,Min_PValue_all,min_FDR_all,LogFC_Healthy,Pvalue_healthy,FDR_healthy
(11Z)-eicoseneoylcarnitine,CAR,0.233474081,0.444322874,0.706855837,0.978514682,0.00346724,0.119524266,0.00346724,0.119524266,-0.745040601,0.745040601,-0.337730473,0.31878475,0.997493903,0.00346724,0.119524266,0.341268257,0.254199412,0.999751828
"(11Z,14Z)-eicosadienoylcarnitine",CAR,0.251480768,0.409944189,0.688934806,0.944178738,0.004756125,0.121224858,0.004756125,0.121224858,-0.692697969,0.692697969,-0.299178514,0.376845666,0.997493903,0.004756125,0.121224858,0.326674831,0.274955874,0.999751828
"(13Z,16Z)-docosadienoylcarnitine",CAR,-0.013675011,0.964338172,0.988939097,0.696379586,0.036129622,0.398211027,0.036129622,0.398211027,-0.710054597,0.710054597,-0.30130939,0.373473442,0.997493903,0.036129622,0.398211027,0.346167498,0.247484884,0.999751828
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,0.25662649,0.400416998,0.685943318,0.74914266,0.024361288,0.319902177,0.024361288,0.319902177,-0.49251617,0.49251617,-0.334277336,0.323729037,0.997493903,0.024361288,0.319902177,0.090828633,0.760680502,0.999751828
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,0.058891861,0.847204258,0.948589958,0.842352811,0.011551965,0.206525296,0.011551965,0.206525296,-0.78346095,0.78346095,-0.275709877,0.41524036,0.997493903,0.011551965,0.206525296,0.443212556,0.139384566,0.999751828
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,-0.010433335,0.972787117,0.991329009,0.6418716,0.053128162,0.411955309,0.053128162,0.411955309,-0.652304935,0.652304935,-0.285339162,0.399210495,0.997493903,0.053128162,0.411955309,0.301597922,0.313293676,0.999751828
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,-0.020987465,0.945297724,0.982033791,0.701938481,0.03469371,0.398211027,0.03469371,0.398211027,-0.722925946,0.722925946,-0.344669554,0.309001071,0.997493903,0.03469371,0.398211027,0.313127554,0.295245631,0.999751828
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,0.209032979,0.4935089,0.750574771,0.771652036,0.020463196,0.29376197,0.020463196,0.29376197,-0.562619058,0.562619058,-0.209978679,0.53453461,0.997493903,0.020463196,0.29376197,0.292321516,0.328335972,0.999751828
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,0.217297522,0.476559525,0.738519263,0.678918698,0.040977087,0.398211027,0.040977087,0.398211027,-0.461621176,0.461621176,-0.154897427,0.646573261,0.997493903,0.040977087,0.398211027,0.248204876,0.406239774,0.999751828
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,0.251348083,0.410190551,0.688934806,0.671176992,0.0432982,0.398211027,0.0432982,0.398211027,-0.419828909,0.419828909,-0.103850567,0.758368575,0.997493903,0.0432982,0.398211027,0.25424263,0.394961473,0.999751828
[TG(48:0)]_FA16:0,TAG,-0.467052299,0.129377988,0.421999365,-0.205604658,0.530521137,0.849125522,0.129377988,0.421999365,-0.261447642,0.261447642,-0.113021554,0.737814707,0.997493903,0.129377988,0.421999365,0.093966132,0.752689155,0.999751828
[TG(48:0)]_FA16:1,TAG,-0.391711336,0.20277015,0.512748165,-0.421655476,0.197938165,0.570074812,0.197938165,0.512748165,0.02994414,0.02994414,0.060149752,0.858338972,0.997493903,0.197938165,0.512748165,-0.024339799,0.934864991,0.999751828
[TG(48:0)]_FA18:0,TAG,-0.508564355,0.098945419,0.367546631,-0.460414809,0.159753034,0.527925591,0.098945419,0.367546631,-0.048149546,0.048149546,0.096917084,0.773582781,0.997493903,0.098945419,0.367546631,0.091196875,0.759742419,0.999751828
[TG(48:0)]_FA18:1,TAG,-0.450922679,0.143020771,0.442181898,-0.36636643,0.263360656,0.638980392,0.143020771,0.442181898,-0.084556249,0.084556249,-0.047495147,0.888041953,0.997493903,0.143020771,0.442181898,-0.016889517,0.954779421,0.999751828
[TG(48:0)]_FA18:2,TAG,-0.504763177,0.101472699,0.372315271,-0.223233928,0.495838781,0.827266735,0.101472699,0.372315271,-0.281529249,0.281529249,-0.076032145,0.821753154,0.997493903,0.101472699,0.372315271,0.151031007,0.612807138,0.999751828
[TG(48:1)]_FA16:0,TAG,-0.556967689,0.07104001,0.305594527,-0.259218723,0.428938457,0.777130438,0.07104001,0.305594527,-0.297748966,0.297748966,-0.054392356,0.871924981,0.997493903,0.07104001,0.305594527,0.184530179,0.536549019,0.999751828
[TG(48:1)]_FA16:1,TAG,-0.411430123,0.181106354,0.48849768,-0.149573489,0.64831414,0.910187493,0.181106354,0.48849768,-0.261856634,0.261856634,-0.138980189,0.680710005,0.997493903,0.181106354,0.48849768,0.067814289,0.82005624,0.999751828
[TG(48:1)]_FA18:0,TAG,-0.662442528,0.032185019,0.171091025,-0.57721472,0.077969432,0.411955309,0.032185019,0.171091025,-0.085227808,0.085227808,0.109924238,0.744167765,0.997493903,0.032185019,0.171091025,0.135815083,0.648977089,0.999751828
