lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0141,AK0145,AK0164,AK0174,AK0175,AK0144,AK0147,AK0154,AK0155,AK0166,AK0168,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,AK0135,AK0140,AK0142,AK0157,AK0169,Blank-1x
LPI(20:4) | PI(20:4),0.127649546,6.649218176,0.150646825,0.697917994,0.931598626,11,11,WT,5xFAD,PI,88861.38564,187836.9738,169066.8935,195529.6974,54563.30354,52005.7239,87543.1257,93001.56616,108164.9677,39783.86284,56796.46448,191984.7524,188314.8522,158487.8701,47694.4841,54214.48441,168079.934,58226.04364,113967.908,97713.34796,47293.06317,71793.26543,18737.34128
PC(44:5),0.12762863,6.395719332,0.150596035,0.697966416,0.931598626,11,11,WT,5xFAD,PC,134004.5287,98544.44714,126520.0885,95221.34711,113181.1275,82798.34595,62992.80414,15800.52103,69996.54468,72810.84555,97500.54678,594085.9832,613275.068,451045.7754,575894.5751,375016.6478,504985.7371,450092.7716,252608.3568,221121.857,227461.4131,490617.461,14282.72098
PE(38:7),-0.127814868,7.625243676,0.151854562,0.696769335,0.931598626,11,11,WT,5xFAD,PE,489840.6942,278980.4014,154240.9714,313662.3429,266503.0776,60994.80406,185695.192,153098.1104,245240.1979,54943.54337,109287.208,3212431.405,2842734.102,3030429.802,2709965.008,1684037.935,2478947.235,2063376.259,2033280.942,1309935.926,911055.3163,1906018.89,32494.10233
PE(44:2),-0.128848514,6.255134717,0.154313094,0.694447222,0.931598626,11,11,WT,5xFAD,PE,166758.9118,120873.3485,55623.20409,115674.248,90896.76605,31180.84219,62763.92386,68435.40494,68427.26459,23556.16175,35531.72212,28632.1019,90938.98669,77440.82547,82484.64685,63689.7644,77498.66766,68446.12509,50701.88409,46780.54352,47851.04321,52542.34314,20799.30149
PE(P-36:5),-0.125792328,6.850027683,0.147077715,0.701343789,0.931598626,11,11,WT,5xFAD,PE,229729.1163,217902.674,53419.66339,217854.0328,139865.8286,31833.56242,113043.1885,115922.6881,123291.6687,25652.08179,39072.20297,2365301.492,1799011.935,1467633.402,2213065.869,907571.1602,2034675.328,1059263.156,911167.4394,1213761.714,863470.2809,1261040.65,23008.10141
PG(O-30:1),0.1265336,8.59222974,0.148036574,0.700418784,0.931598626,11,11,WT,5xFAD,PG,681419.288,587921.4791,568005.6062,656498.007,345031.5639,323268.0295,196306.475,307719.4611,389863.6014,295946.7392,331396.2624,144388.4097,156420.233,141452.2489,157941.9515,118210.7489,138912.809,132854.9692,101687.1661,94243.08667,93452.7262,117403.8495,25890.90164
PI(36:6),0.127976982,6.991914429,0.151421639,0.697180474,0.931598626,11,11,WT,5xFAD,PI,88951.64577,263883.6812,230721.2778,233163.1357,72307.90559,64172.10452,104560.2878,143235.8709,130765.2278,44643.54312,65955.68385,241464.5377,200305.9331,142596.6303,223258.2543,144678.3694,202315.8544,162287.0729,97169.40669,99402.58562,86674.30673,154831.751,20264.42131
PS(42:10),-0.126957223,7.499189465,0.149821059,0.69870642,0.931598626,11,11,WT,5xFAD,PS,360990.624,260004.0574,262429.2399,302417.0593,188075.2929,116479.6077,108928.8473,101744.2468,131941.8685,134548.5679,167043.0511,360976.3668,343217.4045,266709.0018,346799.4227,245902.0579,310109.1014,296218.8596,206907.0363,193122.1936,179292.5925,318814.8423,33783.1825
PS(O-38:2),0.126297802,8.664808543,0.147486315,0.700949193,0.931598626,11,11,WT,5xFAD,PS,810045.9818,418216.3999,683812.8712,501352.9695,456251.2731,324486.7013,279406.619,224879.0159,348910.2244,345221.5045,388945.29,490450.2184,403623.8323,309934.7825,432526.7274,337786.5222,414693.7323,375487.1461,200013.3542,228801.1971,192072.4898,578677.4618,51623.00354
LPE(18:0),0.125391571,7.424290906,0.145376636,0.702993354,0.932961925,11,11,WT,5xFAD,PE,297119.6188,175145.3535,178358.9536,222034.9166,199772.0541,77749.46503,170481.3335,115223.6683,171087.213,74438.6451,87863.40671,29764.52241,32681.7424,31265.6227,25843.00208,89269.3451,31516.1419,75173.6856,17672.98107,30623.22225,19749.56116,36356.72252,57649.50391
