"AK0141","AK0145","AK0164","AK0174","AK0175","AK0144","AK0147","AK0154","AK0155","AK0166","AK0168","AK0139","AK0161","AK0170","AK0200","AK0202","AK0204","AK0135","AK0140","AK0142","AK0157","AK0169"
5.98249313437656e-07,1.57795350772972e-06,5.27442480608983e-07,2.02536176445001e-07,8.73858684124497e-07,1.26182384077925e-06,3.73630354532816e-07,3.84220543345735e-06,6.84176327225082e-07,4.10432595888757e-07,2.9156341229734e-07,1.32014072190067e-06,2.41048573198408e-07,4.79703829920997e-07,4.19260834011115e-07,2.20422188402366e-06,3.51778083584852e-07,2.19682642019331e-06,7.08761137340654e-07,5.75457116381335e-07,3.99229641158456e-07,1.5500754648335e-06
0,3.26473613857922e-07,0,0,1.24064960608533e-07,0,0,1.68725812041479e-07,0,0,0,0,0,0,0,1.07960085224115e-06,0,5.5183008333724e-07,0,0,0,0
1.81530444249144e-06,4.02374502005522e-06,6.66644446508815e-07,7.96295858051167e-07,1.67582960762321e-06,1.7089413831623e-07,0,0,9.45559988198496e-07,0,0,2.67687325638509e-06,1.40685352329534e-06,1.55067287430932e-06,1.07324644480694e-06,4.76472738435233e-06,9.26034942918186e-07,3.56272269732294e-06,8.20152324981763e-07,0,0,1.99458088898812e-06
1.33563005022324e-06,5.25403039433165e-06,1.09082300195092e-06,3.47320665053187e-06,5.47148284589905e-06,4.19733911733048e-06,9.26291303275859e-07,1.84614720113723e-06,2.61634347853693e-06,2.04412344594139e-06,3.16248333558393e-06,2.48479819809878e-06,2.76427405597749e-06,3.24420300119414e-06,1.84700661822897e-06,1.16274301200813e-05,2.32686391521236e-06,9.272744073971e-06,1.11714228374126e-06,1.75080494593446e-06,9.32687712626501e-07,4.27501912180168e-06
2.88470824464839e-06,8.04927584637013e-06,2.56289027672863e-06,5.5207356431252e-06,6.5099790077586e-06,5.52149959470369e-06,2.10903487912449e-06,4.13163101472325e-06,4.03825389299394e-06,3.2689581241961e-06,2.86843955469138e-06,6.5070130320995e-06,4.26680646302341e-06,5.69825056179613e-06,2.3588263720328e-06,1.7666582492422e-05,4.4740875224079e-06,1.19371962205745e-05,3.40947954044164e-06,4.09047364829705e-06,3.40055213698968e-06,6.43059609539927e-06
0,6.1075207977429e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.76033922326727e-07,1.18486044963496e-06,2.30044668266724e-07,4.48270541508897e-07,3.81496501705661e-07,5.94992934099228e-07,6.91709178212448e-08,2.72684912880831e-06,3.85234159361744e-07,2.80119886071332e-07,3.27266437490247e-07,4.43724711056234e-07,4.4839591685669e-07,1.51967956477133e-07,5.2057474853369e-07,1.46007785488326e-06,3.85235120613786e-07,1.60834439526178e-06,4.44716996881492e-07,2.4722755265545e-07,1.39681748060604e-07,9.91950208588223e-07
8.9260970274833e-07,1.57582510881521e-06,7.49192655800836e-07,8.59433985481728e-07,1.52250900613955e-06,1.72778653254983e-06,8.90349503200284e-07,5.26727292203985e-06,1.37751059454781e-07,9.82311060305037e-07,7.11944454098845e-07,1.12058125617018e-06,1.10078936059511e-06,1.03119670581773e-06,6.93517876440204e-07,4.11440815180081e-06,5.71743544376497e-07,2.41298130270798e-06,7.90993472347596e-07,7.08371013897615e-07,5.77192941089021e-07,1.83520556382543e-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32140226845719e-07,0,2.35766479538842e-06,0,0,0,0
8.10410160061545e-07,2.1416730909599e-06,5.21593970893499e-07,8.53448979281172e-07,1.47684280342862e-06,8.41767072640303e-07,4.21383110707532e-07,6.40671858810159e-06,6.2255084465136e-07,1.41026760499626e-06,1.05959963480852e-06,1.22005331040542e-06,8.54302513562667e-07,5.05478696167519e-07,1.00049620506709e-06,3.04414102049231e-06,8.82487293984783e-07,3.32623777204162e-06,5.93026642865031e-07,6.41082548616817e-07,4.20152203308549e-07,1.77230738279881e-06
