"lipid","type","LogFC_cKO","PValue_cKO","FDR_cKO","LogFC_WT","PValue_WT","FDR_WT","min_PValue","min_FDR","LogFC_difference","LogFC_difference_abs","LogFC_injured_comparison","PValue_injured_comparison","FDR_injured_comparison","Min_PValue_all","min_FDR_all","LogFC_Healthy","Pvalue_healthy","FDR_healthy"
"PE(14:0)","PE",0.392172152,0.199596435,0.510762159,0.834010146,0.012539993,0.21216669,0.012539993,0.21216669,-0.441837994,0.441837994,-0.391534845,0.249125459,0.997493903,0.012539993,0.21216669,-0.018475965,0.950649286,0.999751828
"PE(14:1)","PE",0.481241521,0.115464327,0.398222534,0.856646597,0.010387473,0.196836031,0.010387473,0.196836031,-0.375405076,0.375405076,-0.396254025,0.243525957,0.997493903,0.010387473,0.196836031,-0.086020945,0.773122109,0.999751828
"PE(16:1)","PE",-0.268811161,0.381089763,0.669590816,0.841980136,0.011588594,0.206525296,0.011588594,0.206525296,-1.110791298,1.110791298,-1.051304659,0.00227405,0.30148471,0.00227405,0.206525296,-0.010252013,0.972543716,0.999751828
"PE(18:1)","PE",0.837909276,0.006053848,0.051072494,0.183066653,0.57805539,0.885548699,0.006053848,0.051072494,0.654842622,0.654842622,0.24628031,0.464266668,0.997493903,0.006053848,0.051072494,-0.471548311,0.1124547,0.999751828
"PE(20:1)","PE",1.03209813,0.000736248,0.011018791,0.422566497,0.200934988,0.575142785,0.000736248,0.011018791,0.609531633,0.609531633,0.220994993,0.511436134,0.997493903,0.000736248,0.011018791,-0.455858118,0.124930636,0.999751828
"PE(20:5)","PE",0.62467358,0.040548617,0.207171601,0.557777044,0.092259575,0.426873033,0.040548617,0.207171601,0.066896536,0.066896536,-0.068174157,0.839892838,0.997493903,0.040548617,0.207171601,-0.203935178,0.492857678,0.999751828
"PE(22:2)","PE",-1.082838364,0.000534841,0.009698635,-1.024029034,0.001812066,0.093540121,0.000534841,0.009698635,-0.05880933,0.05880933,0.068924075,0.83792945,0.997493903,0.000534841,0.009698635,0.058342431,0.844827971,0.999751828
"PE(34:1)","PE",0.761375685,0.012590151,0.083761811,-0.053130892,0.871399784,0.989912363,0.012590151,0.083761811,0.814506577,0.814506577,0.391288108,0.244654721,0.997493903,0.012590151,0.083761811,-0.491757418,0.097863075,0.999751828
"PE(36:0)","PE",0.635522502,0.037194893,0.192666973,-0.101830814,0.756258687,0.957496387,0.037194893,0.192666973,0.737353316,0.737353316,0.433488485,0.197386193,0.997493903,0.037194893,0.192666973,-0.371475057,0.211247631,0.999751828
"PE(36:1)","PE",0.832250079,0.006402608,0.052090787,-0.238879692,0.46608673,0.797407811,0.006402608,0.052090787,1.071129771,1.071129771,0.512410194,0.127544657,0.997493903,0.006402608,0.052090787,-0.625243255,0.035337702,0.999751828
"PE(36:4)","PE",1.046652147,0.000619746,0.010703798,0.370025023,0.262312009,0.63883141,0.000619746,0.010703798,0.676627124,0.676627124,0.402191413,0.231739753,0.997493903,0.000619746,0.010703798,-0.339308881,0.25355323,0.999751828
"PE(36:8)","PE",0.794071824,0.00927118,0.066912518,0.117530143,0.720780945,0.944014938,0.00927118,0.066912518,0.676541681,0.676541681,0.293325654,0.383293513,0.997493903,0.00927118,0.066912518,-0.451448811,0.128622697,0.999751828
"PE(38:1)","PE",0.945668455,0.001965084,0.020148846,-0.01041553,0.974694389,0.994176981,0.001965084,0.020148846,0.956083985,0.956083985,0.424783343,0.206541243,0.997493903,0.001965084,0.020148846,-0.592513593,0.04610769,0.999751828
"PE(38:2)","PE",0.662918309,0.029758373,0.161543271,-0.143200786,0.662367912,0.912203096,0.029758373,0.161543271,0.806119095,0.806119095,0.377723858,0.261411857,0.997493903,0.029758373,0.161543271,-0.492974853,0.097033333,0.999751828
"PE(38:5)","PE",0.834117641,0.006285982,0.051703929,0.226892939,0.490857017,0.821020061,0.006285982,0.051703929,0.607224702,0.607224702,0.293086741,0.383682098,0.997493903,0.006285982,0.051703929,-0.375818472,0.205954102,0.999751828
"PE(38:6)","PE",0.686805529,0.024357529,0.141880237,0.069772823,0.831866785,0.981327484,0.024357529,0.141880237,0.617032706,0.617032706,0.370047812,0.271239885,0.997493903,0.024357529,0.141880237,-0.310238891,0.296567418,0.999751828
"PE(38:7)","PE",0.624843417,0.040495689,0.207171601,-0.127814868,0.696769335,0.931598626,0.040495689,0.207171601,0.752658286,0.752658286,0.587433778,0.080654955,0.997493903,0.040495689,0.207171601,-0.226456065,0.446297286,0.999751828
"PE(38:8)","PE",0.916464417,0.002694798,0.026540219,0.07966143,0.808493322,0.973704346,0.002694798,0.026540219,0.836802986,0.836802986,0.40413541,0.229487184,0.997493903,0.002694798,0.026540219,-0.495634905,0.095242104,0.999751828
"PE(38:9)","PE",0.759218993,0.01284175,0.084316225,0.049072819,0.881271379,0.989912363,0.01284175,0.084316225,0.710146174,0.710146174,0.335995707,0.317864679,0.997493903,0.01284175,0.084316225,-0.440562904,0.138102454,0.999751828
"PE(O-34:1)","PE",0.611150213,0.045093256,0.222905949,0.053480991,0.8707042,0.989912363,0.045093256,0.222905949,0.557669222,0.557669222,0.209509317,0.533661877,0.997493903,0.045093256,0.222905949,-0.422117517,0.155391307,0.999751828
"PE(O-36:1)","PE",0.784244501,0.010175211,0.070847867,0.107342077,0.744065161,0.954180282,0.010175211,0.070847867,0.676902424,0.676902424,0.307834087,0.360177969,0.997493903,0.010175211,0.070847867,-0.438431513,0.140022441,0.999751828
"PE(O-36:2)","PE",0.847357413,0.005509368,0.047950718,-0.011063292,0.973121032,0.994176981,0.005509368,0.047950718,0.858420705,0.858420705,0.359468353,0.285193983,0.997493903,0.005509368,0.047950718,-0.565521857,0.056961878,0.999751828
"PE(O-36:3)","PE",0.75937653,0.012823368,0.084316225,-0.154165871,0.638269393,0.907397228,0.012823368,0.084316225,0.913542402,0.913542402,0.424152565,0.207218612,0.997493903,0.012823368,0.084316225,-0.559882193,0.059480341,0.999751828
"PE(O-36:4)","PE",0.68706894,0.024303648,0.141880237,-0.144848128,0.658726551,0.911239665,0.024303648,0.141880237,0.831917067,0.831917067,0.496275714,0.139985587,0.997493903,0.024303648,0.141880237,-0.402955134,0.175036983,0.999751828
"PE(O-36:5)","PE",0.748406742,0.014175865,0.091105223,0.151651589,0.644821806,0.908926523,0.014175865,0.091105223,0.596755152,0.596755152,0.360511877,0.283803974,0.997493903,0.014175865,0.091105223,-0.305329388,0.304293921,0.999751828
"PE(O-38:0)","PE",0.703021735,0.021195605,0.128460813,-0.13530652,0.679936497,0.922814991,0.021195605,0.128460813,0.838328255,0.838328255,0.602414022,0.073227961,0.997493903,0.021195605,0.128460813,-0.297122794,0.317486414,0.999751828
"PE(O-38:1)","PE",0.782360972,0.010356668,0.071118957,0.034667244,0.915955045,0.990933042,0.010356668,0.071118957,0.747693728,0.747693728,0.486279882,0.148142267,0.997493903,0.010356668,0.071118957,-0.326983394,0.271226602,0.999751828
"PE(O-38:2)","PE",0.871851144,0.004298108,0.038299213,-0.078382506,0.811202676,0.973797956,0.004298108,0.038299213,0.95023365,0.95023365,0.520380003,0.121729789,0.997493903,0.004298108,0.038299213,-0.496079209,0.094946436,0.999751828
"PE(O-38:3)","PE",0.783001642,0.010295208,0.071022702,-0.08458847,0.79656146,0.969473582,0.010295208,0.071022702,0.867590111,0.867590111,0.483928554,0.150118477,0.997493903,0.010295208,0.071022702,-0.448338318,0.131280197,0.999751828
"PE(O-38:4)","PE",0.80701339,0.008191097,0.061779697,0.268352489,0.415463528,0.773568286,0.008191097,0.061779697,0.538660901,0.538660901,0.034366753,0.918792047,0.997493903,0.008191097,0.061779697,-0.573494537,0.053556218,0.999751828
"PE(O-38:5)","PE",0.769146652,0.011718277,0.079376747,0.323646234,0.326483007,0.701630095,0.011718277,0.079376747,0.445500417,0.445500417,0.085053001,0.800697288,0.997493903,0.011718277,0.079376747,-0.426766254,0.150887611,0.999751828
"PE(P-36:6)","PE",0.623244058,0.041011318,0.208822935,-0.100826331,0.758589606,0.957511501,0.041011318,0.208822935,0.724070389,0.724070389,0.407306488,0.225852111,0.997493903,0.041011318,0.208822935,-0.385452577,0.194549984,0.999751828
"PE(P-40:7)","PE",0.788976916,0.009730054,0.06870703,-0.007304643,0.982251672,0.996902205,0.009730054,0.06870703,0.79628156,0.79628156,0.400867731,0.233279549,0.997493903,0.009730054,0.06870703,-0.45903789,0.122315974,0.999751828
"PG(18:4)","PG",-1.636904813,2.79e-07,2.98e-05,-1.440717405,1.28e-05,0.001364726,2.79e-07,2.98e-05,-0.196187408,0.196187408,-0.047107246,0.888950508,0.997493903,2.79e-07,2.98e-05,0.090424624,0.761712276,0.999751828
"PG(20:0)","PG",1.457133486,2.16e-06,0.000173062,0.380581413,0.249034246,0.623962391,2.16e-06,0.000173062,1.076552073,1.076552073,1.174463262,0.000504431,0.10787617,2.16e-06,0.000173062,0.064921517,0.827606781,0.999751828
"PG(32:5)","PG",-0.73587889,0.017529281,0.109796376,0.322137,0.328732522,0.701630095,0.017529281,0.109796376,-1.05801589,1.05801589,-0.175752624,0.602993937,0.997493903,0.017529281,0.109796376,0.827013552,0.006250707,0.723518934
"PG(34:4)","PG",0.369213869,0.226144238,0.536145928,0.701322374,0.034851986,0.398211027,0.034851986,0.398211027,-0.332108505,0.332108505,-0.391710099,0.248010176,0.997493903,0.034851986,0.398211027,-0.119182292,0.688771642,0.999751828
"PG(34:5)","PG",0.178711944,0.558354797,0.798335368,0.689069051,0.038097377,0.398211027,0.038097377,0.398211027,-0.510357107,0.510357107,-0.617845338,0.069706179,0.997493903,0.038097377,0.398211027,-0.170041749,0.567550825,0.999751828
"PG(34:5)_2","PG",0.307457437,0.313613941,0.614502708,0.857139362,0.010203175,0.195822473,0.010203175,0.195822473,-0.549681925,0.549681925,-0.673411903,0.048329761,0.997493903,0.010203175,0.195822473,-0.186738703,0.530089993,0.999751828
"PG(36:1)","PG",0.74478731,0.014645736,0.093296456,0.278877015,0.39747993,0.756228352,0.014645736,0.093296456,0.465910294,0.465910294,0.08346745,0.804334732,0.997493903,0.014645736,0.093296456,-0.423370005,0.154157914,0.999751828
"PG(36:2)","PG",0.666433589,0.028901853,0.158483787,0.367803785,0.265161438,0.639937749,0.028901853,0.158483787,0.298629803,0.298629803,0.030645211,0.927561499,0.997493903,0.028901853,0.158483787,-0.315078868,0.289079528,0.999751828
"PG(38:1)","PG",0.830565052,0.006509481,0.052674012,0.412920377,0.211320657,0.587028646,0.006509481,0.052674012,0.417644675,0.417644675,0.135795524,0.686777317,0.997493903,0.006509481,0.052674012,-0.329804274,0.267103151,0.999751828
"PG(38:3)","PG",0.883926427,0.003794808,0.034116246,0.653704051,0.04895456,0.405941598,0.003794808,0.034116246,0.230222377,0.230222377,-0.084583681,0.802116017,0.997493903,0.003794808,0.034116246,-0.367943436,0.215623314,0.999751828
"PG(38:7)","PG",1.242736995,5.02e-05,0.002272043,0.576796835,0.081805505,0.411955309,5.02e-05,0.002272043,0.665940159,0.665940159,0.385558504,0.251630367,0.997493903,5.02e-05,0.002272043,-0.324543937,0.274819188,0.999751828
"PG(38:8)","PG",0.836747298,0.006123612,0.051072494,0.248215573,0.45117417,0.789027725,0.006123612,0.051072494,0.588531725,0.588531725,0.304312039,0.36570077,0.997493903,0.006123612,0.051072494,-0.331363504,0.264847447,0.999751828
"PG(40:0) | PG(P-42:6)","PG",-0.149125589,0.626423172,0.83653478,-0.701806935,0.032156424,0.398211027,0.032156424,0.398211027,0.552681346,0.552681346,0.548138477,0.103075883,0.997493903,0.032156424,0.398211027,-0.066579013,0.823032964,0.999751828
