"lipid","logFC","logCPM","LR","PValue","FDR","Length1","Length2","Title_1","Title_2","type","AK0141","AK0145","AK0164","AK0174","AK0175","AK0144","AK0147","AK0154","AK0155","AK0166","AK0168","AK0139","AK0161","AK0170","AK0200","AK0202","AK0204","AK0135","AK0140","AK0142","AK0157","AK0169","Blank-1x","mean1","mean2"
"Linoelaidyl carnitine | O-linoleoylcarnitine | 9,12-Hexadecadienylcarnitine",1.167273017,12.40986075,12.02209791,0.000526,0.03935126,11,11,"WT","5xFAD","CAR",3389817.012,3152490.936,3475366.627,2786717.192,3935004.653,3713393.61,4609771.318,3779528.041,4331749.049,3935238.346,4059395.971,192736.596,0,0,0,9655.01699999999,0,487240.064,352818.791,686616.902,1207690.972,737648.599,1090622.943,3742588.43227273,334036.994636364
"LPS(18:4)",-1.118808432,8.514151207,11.59233402,0.000662,0.045062587,11,11,"WT","5xFAD","PS",903552.27391,761948.92551,1015058.82361,893998.02971,195727.19431,152421.17281,111708.48631,86790.24751,149902.64951,132820.24861,173545.81281,4692132.68761,5573679.97461,6034543.50961,3059166.12061,1741354.84661,7433241.39361,1360234.15861,1406489.02561,1537603.94761,560153.45271,569107.35741,45608.60339,416133.987691818,3087973.31587364
"LPS(18:4)_2",-1.12158258,8.525733709,11.64915101,0.000642,0.045062587,11,11,"WT","5xFAD","PS",931093.82387,766807.75477,1032403.79447,875102.21147,186778.68917,143215.05177,105369.18737,88848.40787,149922.03287,137964.92927,173359.53067,274342.05537,233580.79917,168047.56957,217115.93937,134092.03147,232017.33507,453312.78897,387355.02617,340382.16467,320352.76107,458300.43477,47694.24353,417351.401233636,292627.173242727
"FA(15:0)",1.137799913,10.05007099,11.44345098,0.000717,0.04669756,11,11,"WT","5xFAD","FA",393761.2456,355075.8995,143215.4277,415707.2893,405054.8664,556431.9336,677972.5239,337633.7994,407693.8436,220813.1589,494269.6473,44551000.7269,56987649.4769,49455021.7469,22792518.7169,18872280.4769,55580741.2669,9320205.3889,16064913.6169,14719437.1069,5309121.3889,5784762.6069,440589.4131,400693.6032,27221604.7745364
"[TG(60:0)]_FA20:0",-1.099049525,12.23346586,11.19170901,0.000822,0.051249567,11,11,"WT","5xFAD","TAG",13998613.9077,5047164.2217,16538641.0877,9185494.0987,3390917.5507,1740554.6927,1448258.5527,123705.2765,3731347.0397,1490100.0217,1603237.6167,0,0,0,0,0,0,0,0,0,0,0,722759.3523,5299821.27877273,0
"FA(17:0)",1.113080702,11.15219313,10.96822641,0.000927,0.055501232,11,11,"WT","5xFAD","FA",907211.6114,1357567.5574,619883.3374,1314430.5404,1070234.7464,1545524.4604,1253944.6634,1089984.2304,1211380.7274,1000798.8164,1519420.4284,2345747.2934,483584.9624,331544.6444,1112386.0204,0,454141.7164,528215.0154,0,0,0,317540.8174,741267.4526,1171852.82903636,506650.9518
"Stearidonyl carnitine",1.102904092,12.3980424,10.77524863,0.001028664,0.059227307,11,11,"WT","5xFAD","CAR",3531196.852,3209234.55,3659437.209,2802460.021,4011005.761,3885144.318,4121283.203,3239968.289,4467042.542,4036772.753,4188192.4,0,0,0,0,0,0,0,0,0,0,0,1100202.317,3741067.08163636,0
"PG(42:9)",1.09265667,8.038211211,10.58221283,0.001141809,0.06330697,11,11,"WT","5xFAD","PG",266205.80099,144408.03099,180014.65309,152565.41159,242567.67529,166930.19319,157704.19399,299732.36219,176129.65039,282661.94469,208705.49469,2214733.63439,3759961.87339,2098069.56339,2280588.86239,922231.88199,5601870.17339,1127691.49339,637380.26799,833286.50499,340552.66779,746747.62879,34404.86261,207056.855553636,1869374.05017182
"Stearoylcarnitine | hexadecanedioic acid mono-L-carnitine ester",1.086289505,12.6349929,10.46350603,0.00121756,0.065095962,11,11,"WT","5xFAD","CAR",4883803.628,4014575.732,4967530.502,3559805.646,4926959.304,5070370.119,5407317.497,4161341.636,5316662.784,5075989.181,5092545.163,1131880.155,2668929.767,1017933.347,1201900.366,20096.919,4434837.156,55888.112,0,0,0,0,1062245.169,4770627.38109091,957405.983818182
"PE(22:2)",-1.024029034,9.038449228,9.730789394,0.001812066,0.093540121,11,11,"WT","5xFAD","PE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126525.344,0,696946.3247,0,11502.304
"[TG(54:8)]_FA16:1",1.019602234,9.868535768,9.254444818,0.002349245,0.113259563,11,11,"WT","5xFAD","TAG",891457.28598,392960.38448,641552.34118,492504.45578,1621035.17488,1650566.63988,737876.96598,324589.10798,811795.04448,1024615.38288,1178899.57888,764779.41118,1493608.38288,1668190.66588,1944932.27588,1434880.54188,2014825.64188,2992597.16988,2194016.63288,2235661.44888,2630077.04888,2508860.82488,29435.76212,887986.578398182,1989311.82227091
"3-hydroxypalmitoleoylcarnitine | Heptadecanoyl carnitine",1.017746796,11.64665598,9.221828099,0.002391466,0.113259563,11,11,"WT","5xFAD","CAR",2387715.742,1927406.896,2429911.619,1689588.7,2517378.062,2423798.381,2515101.561,1914204.827,2613707.144,2167245.177,2400966.086,301311.9753,998485.14,1237299.754,1580939.06,999565.463,1654055.834,2758530.008,1852018.414,1966326.668,2314537.951,2212102.126,638254.459,2271547.65409091,1625015.67211818
"FA(18:4)",1.016473741,8.785247676,9.199323294,0.002421046,0.113259563,11,11,"WT","5xFAD","FA",203098.413,276223.4828,138757.3296,443590.6882,190616.3508,196181.1956,0,0,1130662.5667,362959.0246,286839.1369,713114.6713,1518426.1327,1732479.6707,2029999.6507,1474270.3077,2102947.8887,3133028.4577,2256517.3467,2392468.2887,2803772.8997,2614949.2157,127843.5893,293538.9262,2070179.50275455
"Arachidyl carnitine | O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1.008658808,10.50328099,9.06259298,0.002608917,0.114869099,11,11,"WT","5xFAD","CAR",1059324.3719,925904.7049,955447.5579,1046100.6919,1027377.0889,974174.9889,1000074.0869,859333.1779,1221951.3339,1072591.6959,1217210.6659,387232.2267,293909.2975,138433.81,284211.84,299441.4974,214893.6924,642513.9432,475308.7328,449442.0466,298184.2614,1434884.0979,292378.0401,1032680.94226364,447132.313263636
"LPE(13:0)",1.012641972,1.360565863,9.100129123,0.002555915,0.114869099,11,11,"WT","5xFAD","PE",66.6800040000001,244.820022,71.6800000000001,57.2400010000001,29.639995,0,0,0,225.740024,0,1326.880104,719752.072486,1518545.361886,1703252.507886,1968033.812886,1447278.883886,2085215.134886,2977028.099886,2208052.258886,2297057.629886,2667634.972886,2507280.733886,1663.800114,183.880013636364,2009011.95175873
"PS(O-40:4)",1.005056658,8.577692437,8.999726395,0.0027002,0.115491424,11,11,"WT","5xFAD","PS",382777.36913,199372.47703,385240.92823,189867.67293,409119.79373,312715.08673,298755.74613,246547.47973,231506.75623,491121.69253,435506.73383,808805.24453,1486231.22113,1693647.59313,1992624.17113,1442684.86213,2039355.00413,3066306.28413,2204415.96113,2307384.83113,2619090.06113,2511837.99213,39735.94287,325684.703293636,2015671.20234818
"(11Z)-eicoseneoylcarnitine",0.978514682,10.41934197,8.543679759,0.00346724,0.119524266,11,11,"WT","5xFAD","CAR",947482.8193,843787.0943,993007.2893,953729.6533,996998.6753,888332.8063,988424.9483,838907.7623,1118046.3573,926070.5653,1062686.3183,627799.1118,1347542.1163,1530850.6533,1912250.8923,1314159.7593,1937079.7073,3029618.4583,2094367.2933,2214441.0863,2603642.8153,2476918.3973,285046.4787,959770.389936364,1917151.84461818
"[TG(60:4)]_FA20:4",-0.942415693,12.43691019,8.253881573,0.004066495,0.119524266,11,11,"WT","5xFAD","TAG",15751077.49688,8125832.10388,18657152.56688,12323961.30688,5701487.91388,3471830.60788,2845753.79188,1209639.29888,5177929.46988,2898462.89188,3267181.83888,184507.23588,187560.95228,159771.03188,177018.05318,113549.84708,180510.11288,149533.03038,104762.06848,84835.38538,786126.89828,146393.81078,40900.82312,7220937.20797091,206778.947861818
"12-Hydroxy-12-octadecanoylcarnitine | 3-hydroxyoctadecanoylcarnitine",0.95505602,10.77959229,8.149682829,0.004306869,0.119524266,11,11,"WT","5xFAD","CAR",1249591.9159,1173060.6459,1349347.9389,1212817.9559,1427406.0699,1284648.7449,1389892.4149,1036125.8169,1430363.3829,1297400.2179,1340145.1689,7482.35920000001,0,0,0,0,0,96750.9049,95761.8913,138137.1183,0,518965.6839,327414.4421,1290072.75208182,77917.9961454546
"CE(15:0)",0.952916683,9.598202813,8.114145351,0.004392117,0.119524266,11,11,"WT","5xFAD","CE",1089265.60946,871561.76026,956101.50946,223429.25396,327941.00046,654357.66676,622846.42676,545962.27776,711325.91256,682918.40426,712279.26586,643795.20236,1428156.27146,1622704.63646,1947523.59046,1381830.01146,2004964.45846,2898474.68446,2136961.42046,2181109.03346,2559540.25646,2436245.31846,89103.66654,672544.462505455,1931027.71672364
"CE(15:1)",0.961815714,9.602584144,8.262296493,0.004047689,0.119524266,11,11,"WT","5xFAD","CE",1117633.11461,870706.14191,963385.98861,224649.05401,341045.97971,653907.16831,639066.84951,562566.27891,743304.89341,694912.13441,718489.99351,683200.17991,1423105.64361,1634587.36861,1891083.93061,1387252.00361,2004676.67561,2899544.12161,2094914.70561,2200131.40861,2553472.75561,2437505.31761,82103.88539,684515.236082727,1928134.01009182
"FA(22:6)",0.950961429,11.37103656,8.081807955,0.004471182,0.119524266,11,11,"WT","5xFAD","FA",2055702.7826,1920667.2776,1132425.6796,3000521.6356,1767047.8186,1811792.6246,1831932.5236,1053589.9056,1860940.8066,1553932.4516,4145151.9926,1728398.5206,3265871.0426,1626140.8206,1860660.8926,506330.8036,5129144.0026,599062.3296,168879.4427,368414.0453,21017.4603,286194.6149,497382.3004,2012155.04532727,1414555.81594545
"O-arachidonoylcarnitine",0.966187131,10.3812332,8.335552044,0.003887666,0.119524266,11,11,"WT","5xFAD","CAR",906592.5071,852871.6851,992793.0091,919422.2271,922724.0931,825650.6351,905818.6681,812981.6971,1074360.7361,912599.3661,1039871.6191,552646.1463,1224378.0361,1430389.9301,1704474.5531,1184212.7001,1819479.3591,2729205.4181,1913372.6471,1964481.8511,2379422.8271,2239815.6701,287038.3799,924153.294827273,1740170.83075455
"PC(32:0)",0.953185742,10.99781164,8.118649571,0.004381218,0.119524266,11,11,"WT","5xFAD","PC",2477518.38165,1984297.01865,2602051.41965,1566494.84865,1708098.91165,2688112.74465,2156657.95765,611448.41485,1349099.57665,3172579.86865,2608664.65265,783865.61715,1474952.06665,1660096.80265,1963855.70765,1442657.46865,2065111.14665,2936224.22165,2158553.95265,2189381.31565,2606095.38365,2498585.61665,31963.28235,2084093.07230455,1979943.57269545
"PC(32:1)",0.977880807,10.99900429,8.532938226,0.003487762,0.119524266,11,11,"WT","5xFAD","PC",2417374.19661,1956490.98961,2633854.98861,1535516.04761,1686021.43361,2714451.35061,2166781.44661,629795.33921,1319088.22061,3203778.43661,2637342.61761,715972.20751,1500303.94461,1700853.84561,1939707.30561,1434163.00561,2051143.63661,2948004.53061,2125876.58261,2212421.88961,2562165.38561,2475254.62861,30584.48239,2081863.18793727,1969624.26932818
"PC(32:2)",0.962011197,10.99328527,8.265608295,0.004040312,0.119524266,11,11,"WT","5xFAD","PC",2449576.31466,1972670.05666,2620688.26266,1557447.48366,1683842.33066,2659191.75466,2176144.68866,566563.72686,1342495.49966,3225592.96866,2640982.05766,789110.56206,1508818.67466,1712367.52766,1969354.12766,1501207.90066,2046985.82266,2971310.23466,2174514.37066,2282145.57066,2626716.24366,2452696.84666,29463.12234,2081381.37676909,2003202.53469636
"PC(32:3)",0.971987952,10.98697706,8.433210212,0.003684293,0.119524266,11,11,"WT","5xFAD","PC",2440418.19567,1931013.37667,2614089.89367,1531695.19967,1666457.61067,2688830.61567,2185472.49667,592651.61857,1322639.23067,3155326.70667,2612429.61767,2004044.30667,2374258.64367,2835380.42667,3151656.26167,2319718.16567,3202781.50867,4716407.66967,3538783.22567,3914471.93067,4322064.82867,4125547.98667,30471.70233,2067365.86929727,3318646.81403364
"PC(O-34:0)",0.952072634,11.0629394,8.10020248,0.004426031,0.119524266,11,11,"WT","5xFAD","PC",2611376.21799,2010834.17899,2766914.83199,1600478.95599,1852990.79099,2854021.14199,2300487.03899,662869.33119,1422047.07299,3266794.77899,2695729.34299,1323148.46499,1524348.76699,1157109.84799,1344667.94999,743433.38249,1277770.24499,573623.21929,228314.95119,226528.59199,245683.83639,464980.31859,27564.40201,2185867.60755364,828146.32499
"PC(O-34:1)",0.966248894,11.03168099,8.336608395,0.003885406,0.119524266,11,11,"WT","5xFAD","PC",2545665.80614,1962563.78014,2660167.70514,1557015.05714,1809691.47514,2793451.60614,2214446.37514,641991.18424,1383294.54414,3275643.07814,2659216.80214,426380.77004,412027.43734,256082.15734,359152.86994,268246.85534,329617.64054,474807.23454,435601.49854,499191.75064,233406.91334,1198141.83514,26734.44186,2136649.76487636,444786.996612727
"PC(O-34:2)",0.959933417,11.03301701,8.230900185,0.00411831,0.119524266,11,11,"WT","5xFAD","PC",2527188.11699,1964888.60399,2712826.08999,1529065.41899,1819141.77099,2747228.66099,2218131.16599,623581.40489,1394226.80199,3253761.76499,2721467.82499,423901.58709,420282.12529,253519.02049,353475.34439,262695.22139,338871.54379,491031.03219,431880.65489,507129.32969,230772.13529,1180434.05899,29145.62201,2137409.78407182,444908.368499091
"PC(O-34:3)",0.971540792,11.11672528,8.425667038,0.003699609,0.119524266,11,11,"WT","5xFAD","PC",2713145.64378,2057743.83878,2817430.24078,1647803.22478,1905710.49278,2942867.76978,2419085.56878,645492.85728,1465125.45178,3479063.19678,2807715.98578,27975785.12778,3020770.31578,1780306.74278,4750713.81378,1774665.02678,2792098.96678,2359782.10778,1029527.16878,1433005.38378,1800631.23378,3272588.87878,29839.90222,2263744.02464364,4726352.25150727
"PC(O-34:4)",0.995691407,11.17389472,8.837654592,0.002950781,0.119524266,11,11,"WT","5xFAD","PC",2724191.96299,2173529.85799,2909924.06599,1734174.72899,1932569.01299,3141647.20399,2530032.97199,673629.51879,1504795.74599,3601468.58599,2963992.51399,619856.68379,1362664.67399,1519577.86399,1763794.64699,1305076.29999,1749702.69699,2518909.62299,1891423.91599,2000328.02799,2241775.56299,2104448.00299,28695.90201,2353632.37906273,1734323.45442636
"PC(P-32:4)",0.97280591,11.13295841,8.447022932,0.003656415,0.119524266,11,11,"WT","5xFAD","PC",2714955.1628,2142675.6958,2879881.8408,1682267.6848,1874089.9748,2987074.4838,2431296.5108,683870.7661,1444912.5358,3505509.2868,2880124.7298,2263556.1738,2627366.0948,3111901.4808,3514141.0358,2576982.9288,3597628.2238,5267843.6068,3848161.6128,4276447.0668,4716063.7978,4565404.0728,28278.1022,2293332.60655455,3669590.55407273
"SM(d18:0/18:0)",0.957647166,10.98981208,8.192786661,0.004205727,0.119524266,11,11,"WT","5xFAD","SM",2424674.69274,1977270.45874,2612208.00874,1540571.31074,1687212.64074,2694089.89374,2191645.06774,580913.47834,1307597.79474,3177056.49774,2556512.09674,1197364.73174,1502165.73774,1713579.15374,1957223.09074,1454821.59374,2050303.21174,3035262.83274,2174436.03274,2310910.61674,2650754.91374,2539534.22574,33657.44226,2068159.26734,2053305.10374
"SM(d18:1/18:0)",0.979673927,11.00975539,8.563392057,0.003429898,0.119524266,11,11,"WT","5xFAD","SM",2465992.09901,1968414.43501,2617773.21201,1547970.62501,1698970.95801,2676388.28701,2239296.74101,610380.62111,1357630.87801,3239635.68101,2646389.15801,1386895.46601,1609785.28101,1232785.84701,1384016.45601,775950.01961,1371759.24501,577317.74621,238281.71361,267626.32341,264386.13421,489858.09261,31011.60199,2097167.51774636,872605.665882727
"SM(d18:1/18:1)9Z))",0.963443858,10.98869627,8.289579832,0.003987321,0.119524266,11,11,"WT","5xFAD","SM",2403278.94681,1973141.12481,2600012.74881,1549778.67881,1696736.99681,2668015.09081,2137447.73881,587639.43851,1345863.81081,3211809.14481,2607615.58881,1688149.49481,1277384.73381,960603.35861,1195350.67581,657804.15941,1130320.64881,509807.84551,213121.03481,221493.11471,240170.67481,444421.40021,30199.34219,2071030.84623727,776238.831028182
"SM(d18:2/18:1)",0.969486392,10.99431071,8.391039453,0.003770752,0.119524266,11,11,"WT","5xFAD","SM",2458514.68609,1923918.51409,2641632.52709,1526087.67509,1696750.65509,2704120.86009,2210687.73409,596701.31019,1350996.74709,3127932.39909,2633912.78609,756498.04019,674249.86549,488923.46679,667381.39199,595128.66379,594920.05799,1035097.09109,822495.20699,791413.33179,662154.62019,1772064.53309,29740.58191,2079205.08128091,805484.206308182
"(11Z,14Z)-eicosadienoylcarnitine",0.944178738,10.32959224,7.969911961,0.004756125,0.121224858,11,11,"WT","5xFAD","CAR",905822.5652,847193.8622,898097.0022,971333.2752,848801.4162,822793.6392,890458.2532,696130.0307,1031396.0002,866649.0392,1004035.2732,1043103.7852,1205148.1302,832094.6542,1031834.2572,481028.3608,969990.6502,284570.8664,0,0,0,206452.9534,283604.8808,889337.305154546,550383.968872727
"PC(32:4)",0.943678582,10.79203319,7.961707062,0.004777733,0.121224858,11,11,"WT","5xFAD","PC",2152531.28284,1703953.09484,2323708.33384,1346868.07684,1464687.74284,2354348.77484,1905270.22084,524231.11894,1184526.70584,2618469.79384,2280862.07484,1314564.63984,1554207.27384,1186602.16484,1304171.47984,747107.31454,1303326.76284,573774.01714,227025.23314,243041.71314,268753.36184,467464.71844,30874.52216,1805405.20184909,835458.061767273
"PI(O-42:6)",-0.925940174,10.74141704,7.969888149,0.004756188,0.121224858,11,11,"WT","5xFAD","PI",2798130.1727,4714197.6477,4390260.1417,4865207.4167,1520025.9257,411774.0497,1454648.6217,821420.2213,2106951.9797,301095.5219,413367.4799,1212936.3167,1542797.5707,1800047.4337,2067948.9057,1495287.7577,2149640.2577,3063808.0487,2196109.9487,2367598.1357,2738722.2047,2565914.5177,18925.9013,2163370.83442727,2109164.64524545
"LPG(15:1)",0.941941161,1.357630489,7.906143218,0.00492672,0.121399957,11,11,"WT","5xFAD","PG",868.240055,106.540012,306.760009,421.360031,53.7799980000002,150.459995,535.960022,110.660022,264.520023,169.040012,493.360031,12254.620907,8129.480526,9314.880687,9449.560637,20091.121567,8287.820556,16555.401437,22902.081617,7038.540481,12420.081027,41385.843037,1553.920113,316.425473636364,15257.2211344545
"O-(17-carboxyheptadecanoyl)carnitine",0.939842495,10.51770789,7.898776298,0.004946825,0.121399957,11,11,"WT","5xFAD","CAR",993119.5316,943012.4196,1090747.2166,1094358.5436,1050560.7586,997800.9496,1014902.6296,829009.7976,1173649.9566,975189.7236,1170323.8376,1920304.4776,2290455.4556,2737494.1226,3150725.5486,2208579.8856,3278267.2296,4759362.2706,3390757.1046,3733188.4766,4269959.2516,4092691.9876,309643.5224,1030243.21496364,3257435.07369091
"LPE(14:0)",0.92726135,1.210248021,7.663768957,0.005634069,0.1360355,11,11,"WT","5xFAD","PE",230.060017,263.680016,106.500012,68.8000070000001,208.700024,112.140019,182.780026,270.28003,63.2200090000001,3.00001199999997,95.94001,1891029.120905,1281876.994905,1003440.077905,1212363.563905,684504.013505,1098229.840905,537876.403305,247461.038305,258482.258205,284044.300205,497983.157105,1479.660095,145.918198363636,817935.524468636
"PG(O-42:2)",0.91927911,7.855524879,7.565271716,0.005950368,0.141392084,11,11,"WT","5xFAD","PG",268030.11744,147686.35214,180606.53294,154149.19134,203393.81164,136008.56724,137204.26934,237798.85754,144049.15374,232733.59414,187244.31404,874562.64714,888231.13794,947642.87764,921471.36334,224719.17934,879767.95344,312872.18454,167109.79174,153268.28994,154263.95034,277344.95684,32982.28226,184445.887412727,527386.757476364
"FA(22:0)",0.91529431,13.05295175,7.501674583,0.006164165,0.144183674,11,11,"WT","5xFAD","FA",6234546.112,8013812.528,5633202.111,11618583.67,4747853.427,5441457.53,5014212.546,2452826.74,4635194.369,6402580.767,20729452.06,41350464.62,46003707.56,44220376.96,28444066.37,17749812.15,52961944.79,5303858.151,16097867.54,17588076.44,5437041.404,4511031.5,1157658.54,7356701.98727273,25424386.135
"CerP(d18:1/2:0)",0.909412017,2.436598861,7.395487354,0.006538771,0.150592918,11,11,"WT","5xFAD","Cer",281.940014,589.020023,468.000027,338.780033,591.980022,352.740013,143.220012,295.160003,252.440025,294.280006,641.300052,655240.030054,555287.148254,399516.509054,554711.988154,494808.832854,482095.568254,830584.089754,684939.541654,659515.423854,530695.506854,1356031.622754,3441.740246,386.260020909091,654856.932863091
