"lipid","logFC","logCPM","LR","PValue","FDR","Length1","Length2","Title_1","Title_2","type","AK0141","AK0145","AK0164","AK0174","AK0175","AK0144","AK0147","AK0154","AK0155","AK0166","AK0168","AK0139","AK0161","AK0170","AK0200","AK0202","AK0204","AK0135","AK0140","AK0142","AK0157","AK0169","Blank-1x","mean1","mean2"
"FA(20:0)",9.166301163,10.67612972,355.4890645,2.7e-79,4.05e-76,11,11,"WT","5xFAD","FA",0,0,0,0,0,0,7274276.723392,3473659.055392,1860779.527392,0,0,0,121162.129692,0,0,0,0,0,545532.779492,6015826.178392,6664685.040392,0,7982.380608,1146246.846016,1213382.37526982
"FA(20:1)",7.420773988,9.042434818,270.3908446,9.33e-61,6.98e-58,11,11,"WT","5xFAD","FA",0,0,3059.620161,0,0,0,1978381.309411,1201715.748411,830543.535811,0,0,2519492.046411,15734902.459411,13088.100971,15155153.419411,0,0,0,74910.385311,395688.061911,329787.765011,6192.680321,7982.560589,364881.837617636,3111746.81079618
"FA(19:0)",-3.948116356,10.89633019,121.3066044,3.27e-28,1.63e-25,11,11,"WT","5xFAD","FA",1566.25996,17089459.20911,13895907.14911,7192.30025,0,0,1048191.82211,0,13013.4008,0,0,168372.25001,173123.45231,140932.44971,160417.69221,116660.56751,149136.91161,152012.07031,121204.26861,111195.66991,2200299.05811,165745.15441,10814.50089,2914120.92194,332645.413155455
"Cer(d20:0/26:0(2OH))",-2.608794852,6.530738365,58.76489972,1.78e-14,6.65e-12,11,11,"WT","5xFAD","Cer",16018.70143,35226.96306,24995.8218,923078.5437,178670.0962,11682.66075,0,3974.86029,21980.94127,7081.14065,13342.14106,169931.8929,172348.3118,124883.0107,162382.0147,116601.4673,155671.1911,152556.5703,121232.1666,111138.5095,2168288.0722,156692.2296,11815.6608,112368.351837273,328338.676063636
"FA(20:3)",2.647212462,7.721470676,54.93072843,1.25e-13,3.74e-11,11,11,"WT","5xFAD","FA",0,11239.88085,383519.46759,0,0,0,593656.50299,432383.64909,360102.66639,0,0,30374830.86939,1741641.06739,1022656.59239,3698089.35239,1172153.92639,1960695.17839,1032368.23539,152473.31159,0,0,3324659.42939,7980.98061,161900.196991818,4043597.08751909
"FA(18:1)",-2.039205701,9.216662951,37.16330518,1.09e-09,2.71e-07,11,11,"WT","5xFAD","FA",900463.9884,1313773.6634,677097.3926,1388636.3914,859518.9984,0,0,0,0,671050.1732,0,43666.9044,71186.9076,0,37176.7454,0,17526.1197,20310.6825,0,0,1965469.2324,52364.5068,238230.0756,528230.964309091,200700.099890909
"FA(15:1)",1.889966805,11.32723209,29.91740389,4.51e-08,9.64e-06,11,11,"WT","5xFAD","FA",0,0,0,0,0,1302227.411,1000356.886,0,199292.211,0,0,0,0,0,0,0,0,0,0,0,381284.627,0,1725227.109,227443.318909091,34662.2388181818
"FA(18:0)",-1.795609401,12.86936651,29.16505612,6.65e-08,1.24e-05,11,11,"WT","5xFAD","FA",4256810.162,8960874.916,3976539.199,8151777.836,6961888.046,0,0,0,0,5354841.386,0,0,0,0,0,0,0,0,0,0,0,0,5543847.184,3423884.68590909,0
"PI(38:7)",1.84366851,10.44408295,28.575457,9.01e-08,1.5e-05,11,11,"WT","5xFAD","PI",171963.97383,274977.32033,416055.68623,326954.49993,2312921.52653,1332051.34153,2379949.53853,1275547.95753,2548648.00853,422069.26773,1660932.18653,428978.61323,357336.40443,281927.64233,110617.90753,2353872.43253,364031.54603,851860.62403,1978507.87053,3235472.82453,991651.90253,3167923.57853,23601.92147,1192915.57338455,1283834.66783909
"FA(20:4)",1.802552429,6.76231516,27.40274522,1.65e-07,2.47e-05,11,11,"WT","5xFAD","FA",0,79810.22628,237855.03667,0,0,0,241897.41717,159626.91127,233507.03627,0,0,0,3379320.03837,0,622.579994000001,0,0,0,132063.78877,2101586.49537,2685760.92637,0,7981.20063,86608.7843327273,754486.711715818
"PI(14:1)",1.650406661,2.839961453,23.22078647,1.44e-06,0.000197,11,11,"WT","5xFAD","PI",3308.640301,4394.200352,3504.620312,2477.380196,1749.960114,5297.060261,6498.720459,6856.780423,6103.140442,5826.32042,2704.940201,584211.101988,485660.591388,389857.186788,509802.213788,2766810.310888,453268.588288,2039997.973888,996803.348988,1559097.155888,1323264.372888,6910966.237888,1559.740112,4429.25122554545,1638158.09842436
"LPI(14:1)",1.552022696,2.822446346,20.68490323,5.41e-06,0.000675,11,11,"WT","5xFAD","PI",3023.980187,4391.620285,3323.400296,3268.720246,1929.180188,3971.620217,6681.140492,6797.200463,5719.840432,5643.100365,2670.760147,519701.834987,493193.596687,404672.427087,528201.618187,2591867.243887,461729.474987,1882122.461887,912464.285287,1446363.328887,1293777.656887,6056736.225887,1611.620113,4310.96030163636,1508257.286787
"LPG(18:4)",-1.47948393,10.23475611,20.05706875,7.52e-06,0.000866,11,11,"WT","5xFAD","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1422989.221,0,544536.285,0,11690.3460000001,0,5876603.167,1838982.055,0,714165.365363636
"PG(18:4)",-1.440717405,10.2512718,19.04563014,1.28e-05,0.001364726,11,11,"WT","5xFAD","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1866382.387,0,0
"[TG(56:8)]_FA18:1",1.405849187,10.23459664,17.16693431,3.42e-05,0.003416591,11,11,"WT","5xFAD","TAG",657457.36736,310187.92256,477605.77546,405611.00616,2194654.03786,2167692.54486,1043985.57286,550019.54216,1132618.21486,1412674.77386,1694942.52686,911344.51216,934631.64676,1082781.13586,990922.96586,162058.27506,940792.30776,258737.57546,131067.42756,116816.34906,117456.59026,172366.17426,28634.50214,1095222.66226,528997.723641818
"Cer(d20:0/26:0)",1.38522718,6.661817762,16.68945424,4.4e-05,0.004119094,11,11,"WT","5xFAD","Cer",9979.920605,8751.640505,37503.282535,5352.420341,241364.854745,177964.029745,5539.080383,295756.848745,30418.341695,18119.941295,28203.701875,689459.752045,544163.905945,426968.446445,592126.599945,2001628.187745,538529.203045,1575455.702745,790092.216845,1113355.985745,940244.362845,4766458.196745,3579.960255,78086.7329517273,1270771.14182682
"[TG(54:7)]_FA16:0",1.345363164,10.28003192,15.78660546,7.09e-05,0.006243608,11,11,"WT","5xFAD","TAG",775732.39762,352702.24322,547635.59382,424459.55152,2287755.96712,2358942.98012,1063664.85712,479772.01002,1136907.81812,1510357.59912,1698034.87312,147792.71152,149708.74892,122291.10802,144206.31162,102653.26742,146489.34892,122768.64922,91248.52742,77110.24442,782089.74992,115129.20932,24154.86188,1148724.17190182,181953.443338182
"[TG(56:7)]_FA18:0",1.299677035,10.53226434,14.77771259,0.000121,0.010059563,11,11,"WT","5xFAD","TAG",920093.63906,472569.73016,706425.00556,567107.50256,2747856.27646,2744860.46646,1285457.14246,592411.00666,1322099.82246,1784013.21546,2066427.99146,157652.93126,147978.71036,124869.94906,147894.41296,109072.72716,139820.00836,121709.26826,94834.32606,79046.64376,782775.89776,126470.30756,23058.56154,1382665.61806909,184738.65296
"O-oleoylcarnitine | Elaidic carnitine",1.211377244,12.21854753,12.91180636,0.000327,0.025726026,11,11,"WT","5xFAD","CAR",2792789.782,2187297.405,2724320.286,2503618.22,3438576.954,3473109.954,3639026.019,2989775.835,4019965.622,3424868.768,3577145.568,1878288.604,3587382.205,2610580.294,389431.442,0,3182803.696,0,0,0,0,0,1027604.653,3160954.03754545,1058953.29463636
