Sample,WT_injured_1,WT_injured_2,WT_injured_3,WT_injured_4,WT_injured_5,WT_injured_6,WT_healthy_1,WT_healthy_2,WT_healthy_3,WT_healthy_4,WT_healthy_5
FA(20:0),0.0,0.010277131670983458,0.008808182647538519,0.002535856114907765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA(20:1),0.0,0.0027950662293128505,0.003047199403751797,0.0011318583813824132,0.0,0.0,0.0,0.0,2.090434333697536e-06,0.0,0.0
FA(19:0),0.0,0.0014808902358129374,0.0,1.7734563127248794e-05,0.0,0.0,1.0392789081985995e-06,0.012717706142975991,0.009494146290655389,5.4488696923934555e-06,0.0
Cer(d20:0/26:0(2OH)),1.5331730421421297e-05,0.0,1.007908228023171e-05,2.9955458725989855e-05,9.302044014420216e-06,1.5180206802859895e-05,1.0629077521032797e-05,2.6215350586853475e-05,1.707797744169243e-05,0.0006993221258338899,0.00019784631575173452
FA(20:3),0.0,0.0008387206426921404,0.0010963983782697792,0.0004907451608947653,0.0,0.0,0.0,8.364542141635602e-06,0.0002620332657337119,0.0,0.0
FA(18:1),0.0,0.0,0.0,0.0,0.0008815159245552776,0.0,0.0005974954698685571,0.0009776896498044536,0.00046261547586531285,0.0010520276523291801,0.0009517690468006868
FA(15:1),0.0017089770934962218,0.0014133088176776216,0.0,0.00027159390163011723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA(18:0),0.0,0.0,0.0,0.0,0.00703431448756931,0.0,0.0028245713550463613,0.0066685418520968905,0.002716903940182821,0.006175767646756002,0.007709090272360541
PI(38:7),0.0017481165046952637,0.003362403673634766,0.0032344162758803207,0.0034732780224837317,0.000554445547633427,0.0018897487265099916,0.00011410527979757254,0.00020463378701156935,0.0002842630932792057,0.00024769995738988166,0.0025611616738293232
FA(20:4),0.0,0.00034175378551830457,0.00040476712524393555,0.0003182216039474546,0.0,0.0,0.0,5.939351225885397e-05,0.00016251047807690745,0.0,0.0
PI(14:1),6.951592765173424e-06,9.181422207280792e-06,1.7386788218636732e-05,8.317313137939632e-06,7.653666502014091e-06,3.077583384547833e-06,2.195421045970659e-06,3.2700946312161297e-06,2.3944732487264367e-06,1.8768573887776944e-06,1.9377790051662004e-06
LPI(14:1),5.212152591464298e-06,9.43914607040212e-06,1.723571087873533e-05,7.794954814508903e-06,7.412981971064336e-06,3.038694552094362e-06,2.0065371697042895e-06,3.2681745860272396e-06,2.270657701872476e-06,2.4763747427455184e-06,2.136234326475046e-06
LPG(18:4),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG(18:4),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[TG(56:8)]_FA18:1,0.0028447695645290568,0.0014749476274922755,0.0013946885718506632,0.0015435234447329486,0.0018557409849650208,0.001928444464871871,0.00043625042610233474,0.00023083696212665102,0.0003263161629407959,0.00030728994084562014,0.0024302008280906087
Cer(d20:0/26:0),0.00023355095103314886,7.825638286373566e-06,0.0007499528023519285,4.145388352414395e-05,2.380301420291665e-05,3.208915459245694e-05,6.622094195827554e-06,6.512832901828987e-06,2.5623490927677662e-05,4.054981016264602e-06,0.0002672699476794193
[TG(54:7)]_FA16:0,0.0030957569191336835,0.0015027506109669578,0.0012165613913297396,0.001549369283263129,0.001984060698544137,0.0019319628248953295,0.0005147308491834234,0.00026247544936057747,0.0003741628657924661,0.00032156955431946084,0.002533295157165412
