Sample,WT_injured_1,WT_injured_2,WT_injured_3,WT_injured_4,WT_injured_5,WT_injured_6,WT_healthy_1,WT_healthy_2,WT_healthy_3,WT_healthy_4,WT_healthy_5,Blank-1x
PC(O-34:3),2972707.672,2448925.471,675332.7595,1494965.354,3508903.099,2837555.888,2742985.546,2087583.741,2847270.143,1677643.127,1935550.395,29839.90222
PC(O-34:4),3170343.106,2558728.874,702325.4208,1533491.648,3630164.488,2992688.416,2752887.865,2202225.76,2938619.968,1762870.631,1961264.915,28695.90201
PC(P-32:4),3015352.586,2459574.613,712148.8683,1473190.638,3533787.389,2908402.832,2743233.265,2170953.798,2908159.943,1710545.787,1902368.077,28278.1022
SM(d18:0/18:0),2727747.336,2225302.51,614570.9206,1341255.237,3210713.94,2590169.539,2458332.135,2010927.901,2645865.451,1574228.753,1720870.083,33657.44226
SM(d18:1/18:0),2707399.889,2270308.343,641392.2231,1388642.48,3270647.283,2677400.76,2497003.701,1999426.037,2648784.814,1578982.227,1729982.56,31011.60199
SM(d18:1/18:1)9Z)),2698214.433,2167647.081,617838.7807,1376063.153,3242008.487,2637814.931,2433478.289,2003340.467,2630212.091,1579978.021,1726936.339,30199.34219
SM(d18:2/18:1),2733861.442,2240428.316,626441.8921,1380737.329,3157672.981,2663653.368,2488255.268,1953659.096,2671373.109,1555828.257,1726491.237,29740.58191
"(11Z,14Z)-eicosadienoylcarnitine",1106398.52,1174063.134,979734.9115,1315000.881,1150253.92,1287640.154,1189427.446,1130798.743,1181701.883,1254938.156,1132406.297,283604.8808
PC(32:4),2385223.297,1936144.743,555105.6411,1215401.228,2649344.316,2311736.597,2183405.805,1734827.617,2354582.856,1377742.599,1495562.265,30874.52216
PI(O-42:6),430699.951,1473574.523,840346.1226,2125877.881,320021.4232,432293.3812,2817056.074,4733123.549,4409186.043,4884133.318,1538951.827,18925.9013
LPG(15:1),1704.380108,2089.880135,1664.580135,1818.440136,1722.960125,2047.280144,2422.160168,1660.460125,1860.680122,1975.280144,1607.700111,1553.920113
O-(17-carboxyheptadecanoyl)carnitine,1307444.472,1324546.152,1138653.32,1483293.479,1284833.246,1479967.36,1302763.054,1252655.942,1400390.739,1404002.066,1360204.281,309643.5224
LPE(14:0),1591.800114,1662.440121,1749.940125,1542.880104,1482.660107,1575.600105,1709.720112,1743.340111,1586.160107,1548.460102,1688.360119,1479.660095
PG(O-42:2),168990.8495,170186.5516,270781.1398,177031.436,265715.8764,220226.5963,301012.3997,180668.6344,213588.8152,187131.4736,236376.0939,32982.28226
FA(22:0),6599116.07,6171871.086,3610485.28,5792852.909,7560239.307,21887110.6,7392204.652,9171471.068,6790860.651,12776242.21,5905511.967,1157658.54
CerP(d18:1/2:0),3794.480259,3584.960258,3736.900249,3694.180271,3736.020252,4083.040298,3723.68026,4030.760269,3909.740273,3780.520279,4033.720268,3441.740246
1-O-palmitoyl-Cer(d18:1/16:0),5631.440369,3930.260254,6120.620476,6000.080414,4370.340328,5721.100395,4830.920345,6407.380444,5189.240356,4676.500362,6160.180386,6578.160408
PC(34:6),3116221.129,2471955.57,721939.7856,1557687.404,3507775.911,2921305.178,2957384.876,2231996.077,3159622.339,1802516.471,2030590.758,30682.86209
[TG(52:6)]_FA18:1,125282.9083,89715.40479,152460.3691,108785.927,126259.4083,162217.8322,510855.2599,644521.0151,559940.3976,507403.0109,194558.9733,841502.9496
CE(16:3),797526.4951,763953.9541,665307.5701,875816.3291,813374.4766,852996.479,1305368.587,1046914.478,1150298.96,360634.7677,471574.6923,103143.0874
FA(18:3),636181.5847,7950.560535,12520.48088,21448.66154,753626.3317,273185.3411,978605.1459,1027099.472,840734.903,1079039.476,900973.9652,231365.0361
1-O-tricosanoyl-Cer(d18:1/16:0),3799.940258,3639.680241,4657.500275,3852.880287,3854.100273,3973.340279,4487.660305,4586.880325,3911.700275,3936.380276,4180.200306,3450.980244
Cer(d18:1/2:0),3706.800274,3423.460236,3512.340248,3614.840252,3622.840256,3764.20026,3856.880291,3747.780273,3665.34024,3596.760277,4059.020298,3421.360245
1-O-behenoyl-Cer(d18:1/16:0),4544.720314,3847.680279,5098.460361,4085.260284,3895.660278,3839.48027,4484.820324,5703.60043,4355.200317,3850.560276,4372.380329,3583.220245
PC(34:5),4623172.471,3708256.397,1083493.547,2299520.947,5105098.14,4544752.029,4317634.765,3052255.837,4862885.295,2464024.605,3555999.994,35443.6026
LPE(24:1),49865.00272,78046.40576,68355.52448,97214.56812,39484.80347,52015.74248,721564.319,145405.7899,76986.94415,228950.3359,105429.468,22666.34161
1-O-lignoceroyl-Cer(d18:1/16:0),3881.68029,3477.26025,4503.680328,3710.980259,3641.540295,3715.940266,4296.420307,5020.46035,3765.000278,4020.000271,3772.820267,3428.300247
FA(16:0),5741593.872,5996406.525,5203453.787,4963816.851,4709216.054,5209465.771,5011721.838,6754271.878,3945772.823,6342494.019,6190052.529,3408274.17
PG(34:5)_2,388006.3677,181505.1324,275531.5573,362500.0435,196671.2344,315889.1046,345774.2645,404303.7922,297706.3604,317031.201,207190.9344,142017.0102
PE(14:1),1568.480122,1938.820129,1642.940132,1577.960106,1507.740105,1831.120121,1709.840115,1781.260132,1845.160156,1679.420124,1956.280132,1476.840111
CE(16:2) | zymosteryl palmitoleate,839465.0791,798569.5371,699599.3726,901407.8879,851822.6799,897783.5259,1441165.195,1134029.031,1267904.804,389170.688,474161.713,93003.58646
"(5Z,8Z)-tetradecadienoylcarnitine",623829.7839,648136.1826,516543.6394,733716.3115,634336.0674,712078.0901,710033.0823,699176.3088,659514.9055,764933.9528,652278.2631,158361.43
1-O-stearoyl-Cer(d18:1/16:0),4115.500294,3772.34026,6000.680454,3930.900284,4547.64035,4405.380333,4695.420334,6351.960472,4237.500278,4600.600368,4807.780327,3474.080254
cis-5-Tetradecenoylcarnitine,516789.4128,600067.2452,442747.4121,621751.825,570752.4857,639817.0825,682274.533,608411.8448,647151.5948,612552.1696,527953.6189,143186.9895
PE(16:1),68551.14441,120157.1876,99047.10699,155220.1309,64574.42406,1046679.677,276927.3654,285747.4026,168711.349,366816.6044,171415.9709,30637.90225
LPS(13:0) | PS(12:0)_2,1786.80011,2045.680138,1858.520142,1711.120132,1982.100147,2418.980194,2265.140171,1858.740143,1994.780136,2022.600147,2415.840176,1971.360149
1-O-myristoyl-Cer(d18:1/16:0),4786.760319,4100.400288,5547.440369,3571.280266,4217.980293,4095.940308,4815.420322,5587.720402,4566.740303,4604.620354,4845.140347,3470.20026
2-Hydroxymyristoylcarnitine | 3-hydroxytetradecanoylcarnitine,440532.0905,517384.0973,414126.9105,534352.636,531947.4597,563614.3218,587663.4621,535128.9974,533576.4213,556161.218,514811.8538,114115.0677
FA(16:1),450388.5725,453685.0133,393367.2088,404695.2286,373405.549,522318.4985,500023.3763,511686.8575,349757.4248,523826.4978,475501.1088,161706.4711
LPE(22:2),106462.9661,179262.5552,166520.312,210283.1343,92892.68781,114160.687,640977.9167,705006.4738,381285.5705,706473.6194,239406.2808,755372.8701
PC(34:4),4988710.891,3969910.341,1173738.642,2415423.882,5708393.955,5087116.226,4835431.813,3404344.761,5421924.949,2713587.885,4145929.717,36301.58252
PE(14:0),1564.080109,1840.660126,1680.720123,1820.420124,1486.300102,1887.680141,1866.140118,1866.860134,1544.960106,2394.100178,1759.640137,1592.720112
LPG(15:0) | PG(O-16:0),1655.860115,1769.540115,1636.760113,1793.400124,1761.500126,2080.420143,2174.480145,2168.280167,1874.160137,1886.820129,1762.540134,1613.240116
PG(P-16:0),1681.700115,1694.600109,1560.400108,1944.240139,1677.400116,1644.740124,1729.540123,2259.040161,1824.16011,1918.58012,1668.120106,1575.200127
1-O-carboceroyl-Cer(d18:1/16:0),4074.480278,3604.500248,4713.260307,3759.620258,3713.360264,3989.08028,4270.400284,5085.420353,3836.64024,4237.000282,4758.760353,4646.720367
3-hydroxyarachidonoylcarnitine,1038095.411,1104591.857,849453.1172,1193242.304,1122235.659,1424185.506,1264454.979,1226450.555,1258064.901,1302493.493,1120644.298,247831.9576
Cer(d18:2/16:0),10213.76069,14518.76105,11612.20086,10220.32082,19163.78137,16120.64104,13158.80089,14640.20097,17363.40148,10987.92092,17666.06144,3684.100281
Cer(t18:0/18:0(2OH)),6150.500454,4262.180328,4673.000347,4813.400368,4925.040386,5591.920429,5540.700394,5322.100334,5159.860374,5816.420383,5926.220371,3497.12027
CerP(d18:1/26:1(17Z)),5368.160374,4154.920277,6115.160404,5318.940403,4348.020309,5306.360344,5280.200367,7165.040524,4620.220337,4564.260311,6553.660423,11089.92054
CerP(d18:1/26:0),4807.200348,4562.600327,5797.960415,5478.860409,4396.080315,5688.720375,5704.420345,7691.600533,4859.200325,4782.640335,5732.120411,9914.120789
SM(d18:2/20:1),4770136.49,3786287.511,1101108.767,2338377.983,5439639.925,4775318.768,4734586.042,3391134.128,5394538.299,2643750.894,3968059.96,35437.54233
PC(34:3),4768601.993,3813744.104,1075391.792,2280506.583,5368483.21,4772034.028,4717834.129,3396790.065,5301745.161,2659429.406,3973910.019,36984.2428
Cer(d18:0/14:0),4718.900364,3884.500267,3767.980259,4343.260273,3926.740307,4237.900295,4863.76033,5327.360363,4450.260281,4303.880299,4569.320328,3531.000248
LPS(13:0) | PS(12:0),1961.020138,1774.840122,1885.080124,1718.840115,1870.600128,1957.300125,2252.14016,2043.180153,1889.78014,2291.900162,2149.20015,1954.840153
(9Z)-3-hydroxyoctadecenoylcarnitine,4515173.98,4665629.47,2848896.941,4165821.643,3656461.825,4556464.166,4825548.984,4360791.622,4894547.858,3856481.796,4835780.073,341258.0603
O-(11-carboxyundecanoyl)carnitine,1582415.543,1454755.672,1599383.461,1546649.777,2072850.215,1796687.211,1528584.901,1822466.525,1826984.277,2268846.514,2011933.033,126964.7892
[TG(52:5)]_FA18:0,107088.2876,81166.32559,147479.5907,104080.1267,115753.4476,134614.3499,430821.5295,547796.3066,446303.7391,406890.993,177143.6935,594619.1601
LPS(14:1) | PS(14:1)_2,2482.380188,2090.800152,2284.140186,2923.700218,1923.46014,2151.820148,3172.760239,2789.600212,2414.380157,2704.660179,2350.200169,1812.920132
1-O-tricosanoyl-Cer(d18:1/18:0),4387.9403,3926.700287,3862.220245,4343.600292,3940.32029,3994.320282,4772.920345,5468.500393,4604.360306,4166.7803,4440.880333,5073.48035
LPE(14:1),1601.62011,1581.680119,1491.480103,1531.100113,1501.920101,2246.520161,1937.040134,2065.020134,1728.060127,1859.740131,1821.980125,1678.020115
[TG(60:5)]_FA16:1,47510.36316,36155.36252,28732.142,45934.7031,54815.98418,67791.92503,236742.4553,130778.5087,168794.173,150068.6902,92363.40622,12036.3008
LPG(15:0) | PG(O-16:0)_2,1698.120129,1562.940105,1606.560104,1971.460159,1812.780136,1842.700119,2256.400162,1948.54015,2091.040134,1818.380127,1971.180134,1658.920128
Tetradecanoylcarnitine,1296630.505,1143660.36,1124839.007,1346473.066,1479419.567,1352170.786,1341675.425,1340667.867,1347077.355,1783439.734,1544466.476,143135.4498
15:1 Campesteryl ester_simulated | CE(16:1)_2,997033.8459,903807.3818,761787.6748,1060419.773,963493.0701,1049468.746,1713514.06,1374413.716,1545144.732,513145.1175,611063.2646,90937.70619
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",1975725.436,1865403.395,1796025.665,1691230.36,2450736.818,2114082.271,1803508.311,2139352.323,2044519.149,2786300.264,2522326.711,114023.5872
15:1 Campesteryl ester_simulated | CE(16:1),970073.2102,886919.1489,747123.0681,1048058.676,961839.7341,1025624.232,1712369.358,1362550.851,1545880.465,496332.3787,585429.0846,105928.0675
"Docosa-4,7,10,13,16-pentaenoyl carnitine | Clupanodonyl carnitine",767466.9733,824126.3934,706021.9698,935481.1636,801889.3362,995985.051,939753.4852,929313.5658,1013811.194,1136196.542,862845.2859,137809.77
[TG(58:3)]_FA20:4,1021984.655,888607.1272,375445.959,1823574.26,930824.6861,1183500.634,4897028.176,1887157.702,4788167.374,3783947.426,1584483.296,22625.68164
O-behenoylcarnitine,820017.3694,776872.7152,683447.0913,847794.2353,770251.5735,883825.8044,929776.3437,953468.6462,928811.4005,1009516.472,871212.1209,145849.7101
LPS(14:1) | PS(14:1),2087.160141,1770.720116,1984.780136,2393.300167,2312.420151,2654.720146,3031.820213,2439.640182,2365.940159,2776.600185,2422.38018,1661.800129
"(13Z,16Z)-docosadienoylcarnitine",901172.6478,994215.9099,775983.2182,1021483.655,944415.6671,1117817.336,1214428.312,1079653.048,1238666.046,1221247.557,1017794.962,181664.5736
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",926965.0672,852648.1027,749638.4543,1025579.054,932723.5685,1071678.899,1154406.7,1076848.044,1079055.927,1177549.127,1027356.721,153256.1509
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",1642605.658,1640416.539,1061737.388,1500157.671,1439568.689,1776308.593,1911398.483,1580741.047,2097805.024,1671652.735,1796628.979,168484.0325
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",3921731.468,4140817.197,2744756.178,3778032.824,3403129.645,4114643.487,4562636.584,4388263.27,4789257.653,3928391.266,4548470.571,263180.4401
[TG(48:3)]_FA18:0,291518.637,188490.1554,123342.5505,185451.6942,247904.4809,350296.4041,763886.529,923335.1913,532438.6727,987166.7118,398062.1857,14379.94096
[TG(48:3)]_FA18:1,395514.7651,264087.2442,258414.4403,253962.7984,358281.9884,506581.3786,1003507.622,1441286.541,834065.9351,1383024.323,595287.302,18693.48141
[TG(50:3)]_FA18:0,376759.1313,260297.6807,187967.1724,250432.0342,365368.4462,485953.7617,943523.9816,1327534.755,790362.8223,1361493.652,601398.3888,23989.78181
[TG(50:4)]_FA18:0,219460.0552,151893.2698,101578.9677,154791.6717,213157.7144,317992.3979,548289.1597,818612.0566,426274.4941,820358.2887,362325.8074,15680.94104
[TG(50:4)]_FA18:1,369211.2238,249806.5766,182193.192,254885.0734,361581.9653,483255.3928,936444.4363,1315818.089,764490.3564,1333761.309,575836.3283,26350.50177
[TG(52:3)]_FA20:0,129390.3288,110042.4871,81424.70647,134113.45,141240.9092,216929.8103,402509.2279,543836.6579,299923.541,599075.1888,241736.4774,16151.1209
[TG(54:0)]_FA18:0,337688.5623,276613.4633,209787.116,321511.3242,332238.8851,571601.0497,1223151.482,989802.4971,978236.3813,1541823.098,636438.5865,50780.76447
[TG(54:1)]_FA18:1,414699.089,350671.6443,263929.6589,373520.5673,436138.7878,776740.4531,1463664.103,1234570.494,1172058.847,2102801.373,800784.4309,83741.36603
[TG(54:5)]_FA16:0,795566.3845,445789.9719,265979.3825,275691.1363,980321.9236,698779.1163,895618.1562,683279.108,834969.4774,542061.4642,522682.5356,16950.20128
[TG(54:6)]_FA16:1,766721.5256,430838.5537,252753.2527,273939.3993,925654.4465,664862.5573,878276.3685,682937.6196,811603.5339,522038.0167,481411.0298,18040.50134
[TG(54:8)]_FA16:0,176332.5535,123422.5089,108168.069,181681.9314,192038.9341,223782.7547,871528.6642,394542.1889,647209.739,433733.3929,319567.9235,22684.72162
[TG(56:0)]_FA16:0,8557819.267,6662979.709,3323528.432,9656286.432,7170305.435,9381564.4,27806008.16,23718559.79,24764868.5,25978136.51,13400939.33,38335.86292
[TG(56:1)]_FA16:1,6345061.028,4803637.652,2436532.385,6874710.36,5193110.501,6856847.268,19980368.6,16595278.79,18409267.44,19204679.04,9696578.023,55993.92398
[TG(58:1)]_FA16:1,73375.86621,51930.86365,46089.24324,71409.12482,82239.88541,90982.42737,303369.963,190468.413,214335.2756,214528.6745,152732.9497,13907.92105
[TG(58:6)]_FA16:0,85062.12521,57968.64491,50573.72357,89308.06662,93844.66714,112678.6283,379101.1825,221220.1154,270858.3225,240396.0748,153300.5707,13126.30089
[TG(58:6)]_FA16:1,69346.40477,48947.12303,37930.86246,69669.78471,76471.76511,98728.80743,310539.5037,173252.5316,239115.0348,180493.1743,127229.4482,17059.84119
[TG(58:7)]_FA16:1,80149.78589,60206.9035,52003.34341,81004.90527,96884.96637,103440.048,374900.1259,212111.555,272319.36,231168.2558,148351.1503,14512.14101
[TG(60:3)]_FA20:4,296209.3413,242834.2701,138405.9911,408372.7159,274365.6014,361304.0484,1188137.262,683292.7222,1217737.548,913070.2718,517116.637,16496.24118
[TG(60:4)]_FA16:0,49865.56395,39903.26299,29211.64186,49957.74377,51989.92392,68893.74529,233396.6165,134035.669,168631.3319,145848.3498,87991.02542,12388.00088
[TG(60:5)]_FA16:0,48630.60371,38284.40323,29871.70233,50036.8031,57266.04358,66040.68398,220233.2159,137120.0505,162807.9124,146283.7098,88942.28539,11480.28087
[TG(60:5)]_FA20:0,198356.8948,151783.6727,114685.3676,241200.8368,177490.7147,300121.58,727744.4678,661195.3418,625788.4596,707716.0231,330314.1201,24093.66176
1-O-eicosanoyl-Cer(d18:1/16:0),4501.780342,3860.800262,5231.980366,4478.940304,4164.360325,4291.060307,4681.560307,7359.920521,4873.900314,4322.100304,5289.940365,6539.220417
3-hydroxyeicosanoylcarnitine | Cervonyl carnitine,824888.4753,812935.3563,687385.5731,872903.6666,832807.3798,1026608.43,1018939.888,974609.2042,1013067.461,1107615.534,930500.2912,140317.9097
3-hydroxylinoleoylcarnitine,3857879.083,4306940.207,2804233.921,3720990.954,3597242.659,4197429.72,5080935.433,3755488.973,5201880.257,3995793.878,4702261.859,259128.2783
CE(22:4) | 20:3 Stigmasteryl ester,1398906.659,1256184.663,975560.1658,1562759.992,1429277.719,1567775.327,2802401.278,1732583.745,2463806.829,743087.7972,901284.7452,118993.8288
Cer(d18:0/18:0(2OH)),4931.040337,4224.340317,4134.860291,4035.600311,3860.340275,4913.040359,4867.000347,6532.040508,4470.960312,4648.380337,5772.120403,3569.900265
Cer(d18:0/26:0),4073.780289,3952.680267,4938.700348,4563.900314,4163.680305,4508.060299,4437.980297,7768.680542,4694.680355,4781.760361,5271.600368,3599.300255
Cer(d18:0/h26:0),4542.200333,3782.760258,4375.9403,4523.480328,4019.880295,3818.000256,4430.720314,6780.820438,4144.760284,4435.380299,5195.820354,4269.020306
CerP(d18:1/24:0),4322.140293,4122.300259,6243.22047,4469.380306,4106.760315,4752.44035,5355.340378,7056.500557,5801.780365,4988.900352,5360.360355,3477.780258
CerP(d18:1/24:1(15Z)),3927.300266,3886.240257,5366.800385,4626.740311,4336.54031,4612.900314,5203.680347,7574.580612,5250.840374,4960.660358,4675.400318,3529.420261
FA(14:1),2487080.377,1781254.198,1153087.043,2302064.863,2170038.211,2215140.862,2275376.12,2376512.133,2105542.671,2439546.335,2444247.976,1905441.675
FA(20:5),7960.720531,646807.0696,416147.0684,192013.2525,7965.700554,7959.44051,7951.900562,856361.2467,648438.8434,7962.380566,7951.200573,7982.24062
FA(22:1),1074954.287,1329338.717,702745.2962,1278698.039,898301.7373,3081707.003,1906310.691,1976226.806,1072527.111,2300666.793,1102661.902,229673.7795
FA(22:5),2138906.746,1924401.732,1855717.818,2271461.318,2014235.67,2570202.087,2517150.279,2656654.676,1941890.405,3166260.318,2365323.86,891988.7595
Hexacosanoyl carnitine,857668.9228,885182.635,793452.9128,885474.246,860118.7024,1020950.335,1083656.419,1119799.457,969854.412,1283694.175,958872.9895,214098.3752
