Sample,WT_injured_1,WT_injured_2,WT_injured_3,WT_injured_4,WT_injured_5,WT_injured_6,WT_healthy_1,WT_healthy_2,WT_healthy_3,WT_healthy_4,WT_healthy_5,Blank-1x
FA(20:0),7962.060558,7282259.104,3481641.436,1868761.908,7970.640549,7967.440536,7961.520512,7977.600578,7975.580578,7970.800552,7956.640556,7982.380608
FA(20:1),7961.680531,1986363.87,1209698.309,838526.0964,7981.800571,7960.600533,7953.260529,7976.28059,11042.18075,7964.840519,7953.040558,7982.560589
FA(19:0),7960.260559,1059006.323,8068.94059,23827.90169,7966.140564,7956.36055,12380.76085,17100273.71,13906721.65,18006.80114,7951.920563,10814.50089
Cer(d20:0/26:0(2OH)),23498.32155,10131.40075,15790.52109,33796.60207,18896.80145,25157.80186,27834.36223,47042.62386,36811.4826,934894.2045,190485.757,11815.6608
FA(20:3),7961.20052,601637.4836,440364.6297,368083.647,7967.140556,7957.880539,7954.860535,19220.86146,391500.4482,7964.82056,7953.920544,7980.98061
FA(18:1),13787.30093,7953.660561,7970.760578,7946.760551,909280.2488,9939.860661,1138694.064,1552003.739,915327.4682,1626866.467,1097749.074,238230.0756
FA(15:1),3027454.52,2725583.995,1562332.997,1924519.32,1563118.148,1509064.062,979850.5885,968810.4744,860388.901,1112653.844,1348329.63,1725227.109
FA(18:0),9615.780659,7956.460571,7970.400574,7948.500526,10898688.57,7958.540504,9800657.346,14504722.1,9520386.383,13695625.02,12505735.23,5543847.184
PI(38:7),1355653.263,2403551.46,1299149.879,2572249.93,445671.1892,1684534.108,195565.8953,298579.2418,439657.6077,350556.4214,2336523.448,23601.92147
FA(20:4),7961.320515,249878.6178,167608.1119,241488.2369,7966.700584,7959.260536,7954.080547,87791.42691,245836.2373,7965.160572,7951.840534,7981.20063
PI(14:1),6856.800373,8058.460571,8416.520535,7662.880554,7386.060532,4264.680313,4868.380413,5953.940464,5064.360424,4037.120308,3309.700226,1559.740112
LPI(14:1),5583.24033,8292.760605,8408.820576,7331.460545,7254.720478,4282.38026,4635.6003,6003.240398,4935.020409,4880.340359,3540.800301,1611.620113
LPG(18:4),151242.47,126781.0096,114769.2092,159162.1886,144929.27,171985.7089,969096.6824,903768.1249,1190525.329,949961.8806,165826.9088,1838982.055
PG(18:4),153573.4704,126295.089,121546.2281,165782.393,143573.2103,175705.2291,954621.5808,885081.4679,1191058.334,948936.4377,171843.7135,1866382.387
[TG(56:8)]_FA18:1,2196327.047,1072620.075,578654.0443,1161252.717,1441309.276,1723577.029,686091.8695,338822.4247,506240.2776,434245.5083,2223288.54,28634.50214
Cer(d20:0/26:0),181543.99,9119.040638,299336.809,33998.30195,21699.90155,31783.66213,13559.88086,12331.60076,41083.24279,8932.380596,244944.815,3579.960255
[TG(54:7)]_FA16:0,2383097.842,1087819.719,503926.8719,1161062.68,1534512.461,1722189.735,799887.2595,376857.1051,571790.4557,448614.4134,2311910.829,24154.86188
[TG(56:7)]_FA18:0,2767919.028,1308515.704,615469.5682,1345158.384,1807071.777,2089486.553,943152.2006,495628.2917,729483.5671,590166.0641,2770914.838,23058.56154
O-oleoylcarnitine | Elaidic carnitine,4500714.607,4666630.672,4017380.488,5047570.275,4452473.421,4604750.221,3820394.435,3214902.058,3751924.939,3531222.873,4466181.607,1027604.653
"Linoelaidyl carnitine | O-linoleoylcarnitine | 9,12-Hexadecadienylcarnitine",4804016.553,5700394.261,4870150.984,5422371.992,5025861.289,5150018.914,4480439.955,4243113.879,4565989.57,3877340.135,5025627.596,1090622.943
LPS(18:4),198029.7762,157317.0897,132398.8509,195511.2529,178428.852,219154.4162,949160.8773,807557.5289,1060667.427,939606.6331,241335.7977,45608.60339
LPS(18:4)_2,190909.2953,153063.4309,136542.6514,197616.2764,185659.1728,221053.7742,978788.0674,814501.9983,1080098.038,922796.455,234472.9327,47694.24353
FA(15:0),997021.3467,1118561.937,778223.2125,848283.2567,661402.572,934859.0604,834350.6587,795665.3126,583804.8408,856296.7024,845644.2795,440589.4131
[TG(60:0)]_FA20:0,2463314.045,2171017.905,846464.6288,4454106.392,2212859.374,2325996.969,14721373.26,5769923.574,17261400.44,9908253.451,4113676.903,722759.3523
FA(17:0),2286791.913,1995212.116,1831251.683,1952648.18,1742066.269,2260687.881,1648479.064,2098835.01,1361150.79,2055697.993,1811502.199,741267.4526
Stearidonyl carnitine,4985346.635,5221485.52,4340170.606,5567244.859,5136975.07,5288394.717,4631399.169,4309436.867,4759639.526,3902662.338,5111208.078,1100202.317
PG(42:9),201335.0558,192109.0566,334137.2248,210534.513,317066.8073,243110.3573,300610.6636,178812.8936,214419.5157,186970.2742,276972.5379,34404.86261
Stearoylcarnitine | hexadecanedioic acid mono-L-carnitine ester,6132615.288,6469562.666,5223586.805,6378907.953,6138234.35,6154790.332,5946048.797,5076820.901,6029775.671,4622050.815,5989204.473,1062245.169
PE(22:2),68475.44472,124172.6689,123578.4715,155409.0675,59948.88353,75330.52545,574898.643,553507.6569,308893.1411,579248.9093,169551.6913,696946.3247
[TG(54:8)]_FA16:1,1680002.402,767312.7281,354024.8701,841230.8066,1054051.145,1208335.341,920893.0481,422396.1466,670988.1033,521940.2179,1650470.937,29435.76212
3-hydroxypalmitoleoylcarnitine | Heptadecanoyl carnitine,3062052.84,3153356.02,2552459.286,3251961.603,2805499.636,3039220.545,3025970.201,2565661.355,3068166.078,2327843.159,3155632.521,638254.459
FA(18:4),324024.7849,11947.06086,30201.92223,1258506.156,490802.6139,414682.7262,330942.0023,404067.0721,266600.9189,571434.2775,318459.9401,127843.5893
Arachidyl carnitine | O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine,1266553.029,1292452.127,1151711.218,1514329.374,1364969.736,1509588.706,1351702.412,1218282.745,1247825.598,1338478.732,1319755.129,292378.0401
LPE(13:0),1482.620113,1587.120106,1634.980114,1889.540138,1571.640129,2990.680218,1730.480118,1908.620136,1735.480114,1721.040115,1693.440109,1663.800114
PS(O-40:4),352451.0296,338491.689,286283.4226,271242.6991,530857.6354,475242.6767,422513.312,239108.4199,424976.8711,229603.6158,448855.7366,39735.94287
(11Z)-eicoseneoylcarnitine,1173379.285,1273471.427,1123954.241,1403092.836,1211117.044,1347732.797,1232529.298,1128833.573,1278053.768,1238776.132,1282045.154,285046.4787
[TG(60:4)]_FA20:4,3512731.431,2886654.615,1250540.122,5218830.293,2939363.715,3308082.662,15791978.32,8166732.927,18698053.39,12364862.13,5742388.737,40900.82312
12-Hydroxy-12-octadecanoylcarnitine | 3-hydroxyoctadecanoylcarnitine,1612063.187,1717306.857,1363540.259,1757777.825,1624814.66,1667559.611,1577006.358,1500475.088,1676762.381,1540232.398,1754820.512,327414.4421
CE(15:0),743461.3333,711950.0933,635065.9443,800429.5791,772022.0708,801382.9324,1178369.276,960665.4268,1045205.176,312532.9205,417044.667,89103.66654
CE(15:1),736011.0537,721170.7349,644670.1643,825408.7788,777016.0198,800593.8789,1199737,952810.0273,1045489.874,306752.9394,423149.8651,82103.88539
FA(22:6),2309174.925,2329314.824,1550972.206,2358323.107,2051314.752,4642534.293,2553085.083,2418049.578,1629807.98,3497903.936,2264430.119,497382.3004
O-arachidonoylcarnitine,1112689.015,1192857.048,1100020.077,1361399.116,1199637.746,1326909.999,1193630.887,1139910.065,1279831.389,1206460.607,1209762.473,287038.3799
PC(32:0),2720076.027,2188621.24,643411.6972,1381062.859,3204543.151,2640627.935,2509481.664,2016260.301,2634014.702,1598458.131,1740062.194,31963.28235
PC(32:1),2745035.833,2197365.929,660379.8216,1349672.703,3234362.919,2667927.1,2447958.679,1987075.472,2664439.471,1566100.53,1716605.916,30584.48239
PC(32:2),2688654.877,2205607.811,596026.8492,1371958.622,3255056.091,2670445.18,2479039.437,2002133.179,2650151.385,1586910.606,1713305.453,29463.12234
PC(32:3),2719302.318,2215944.199,623123.3209,1353110.933,3185798.409,2642901.32,2470889.898,1961485.079,2644561.596,1562166.902,1696929.313,30471.70233
PC(O-34:0),2881585.544,2328051.441,690433.7332,1449611.475,3294359.181,2723293.745,2638940.62,2038398.581,2794479.234,1628043.358,1880555.193,27564.40201
PC(O-34:1),2820186.048,2241180.817,668725.6261,1410028.986,3302377.52,2685951.244,2572400.248,1989298.222,2686902.147,1583749.499,1836425.917,26734.44186
PC(O-34:2),2776374.283,2247276.788,652727.0269,1423372.424,3282907.387,2750613.447,2556333.739,1994034.226,2741971.712,1558211.041,1848287.393,29145.62201
