Sample,cKO_injured_1,cKO_injured_2,cKO_injured_3,cKO_injured_4,cKO_injured_5,cKO_healthy_1,cKO_healthy_2,cKO_healthy_3,cKO_healthy_4,cKO_healthy_5,cKO_healthy_6,Blank-1x
FA(20:0),7961.160515,553515.1601,6023808.559,6672667.421,7981.580582,7966.260536,129144.5103,7959.200504,7964.340546,7952.040527,7947.500576,7982.380608
FA(19:0),7954.340511,82892.9459,403670.6225,337770.3256,14175.24091,2527474.607,15742885.02,21070.66156,15163135.98,7946.460529,7939.080551,10814.50089
LPG(19:0),162826.5712,132018.7695,122010.1708,2211113.559,176559.6553,179186.7509,183937.9532,151746.9506,171232.1931,127475.0684,159951.4125,88345.44666
PG(O-20:0),164372.2311,133047.8274,122954.1703,2180103.733,168507.8904,181747.5537,184163.9726,136698.6715,174197.6755,128417.1281,167486.8519,89735.94641
FA(18:2),1040349.216,160454.2922,7957.600548,7950.060547,3332640.41,30382811.85,1749622.048,1030637.573,3706070.333,1180134.907,1968676.159,191511.0934
LPS(19:0),258540.7581,210622.9978,182826.5952,2203699.308,290594.5824,281896.98,309416.9832,234416.1973,275406.821,204500.4756,255756.1953,161312.1919
PS(O-20:0),256120.078,198072.616,183947.2091,2106511.736,265162.4607,267884.7202,294503.0242,227207.9974,273074.8199,192258.2146,253803.5781,133555.9911
FA(20:3),7956.240555,223156.9365,696611.2299,627392.7228,7978.120544,7961.540562,899622.759,7953.980541,20633.40142,7945.320518,7940.040546,7980.98061
PI(38:7),875462.5455,2002109.792,3259074.746,1015253.824,3191525.5,452580.5347,380938.3259,305529.5638,134219.829,2377474.354,387633.4675,23601.92147
FA(20:1),7957.380547,140044.9894,2109567.696,2693742.127,7978.540581,7964.540581,3387301.239,7954.940529,8603.780624,7946.740524,7940.500557,7982.560589
[TG(54:7)]_FA16:0,2041557.714,998363.0891,1560656.896,1324824.113,6912525.978,585770.8421,487220.3315,391416.9269,511361.9539,2768370.051,454828.3284,24154.86188
[TG(56:8)]_FA18:1,1883734.082,914075.9054,1447974.949,1295389.277,6058347.846,521313.4551,494805.2168,406284.0472,529813.2383,2593478.864,463341.0951,28634.50214
[TG(56:7)]_FA18:0,2383518.34,1184902.606,1850672.401,1548525.204,7715585.222,781737.5592,676558.5472,542158.3009,708741.809,3261971.276,644395.7591,23058.56154
PG(18:4),287177.5995,158612.0699,146954.5298,141085.088,203034.4564,972887.1848,960278.972,1100950.308,1015164.61,205683.8736,979080.712,1866382.387
LPG(18:4),287372.0776,159701.9297,145450.8512,146091.0924,201000.6764,939979.0143,963266.1489,1111415.638,1019557.468,190692.7772,969426.8099,1838982.055
[TG(54:8)]_FA16:1,1579035.663,793672.1771,1116935.946,943824.3231,4770038.157,693039.7123,547743.8662,430548.4067,595706.5602,2005208.148,542109.1633,29435.76212
LPG(21:0),146923.5111,115403.3893,101265.1063,806244.6118,139284.0712,171947.5734,173863.6108,146445.9699,168361.1735,126808.1293,170644.2108,51033.48358
PG(20:0),144767.8298,117892.8876,102105.2053,805834.4593,149528.8691,180711.4928,171037.2719,147928.5106,170952.9745,132131.2887,162878.5699,49674.82373
PI(O-40:5) | PI(P-40:4),354633.1042,1019139.505,929229.1578,409421.4009,422177.2483,2905893.257,4614986.858,3638184.947,1417036.095,598445.4322,4210408.349,39443.00281
FA(15:1),1577863.007,1443441.734,1777239.845,2298313.915,1828271.542,1283359.539,598373.7832,1033582.396,854112.2635,1100277.96,1055318.616,1725227.109
PI(O-42:6),1405842.762,1452097.629,1583212.551,605762.0561,614715.9608,4737741.291,5619288.578,6080152.113,3104774.724,1786963.45,7478849.997,18925.9013
PS(O-40:4),501007.0325,435049.2697,388076.4082,368047.0046,505994.6783,322036.2989,281275.0427,215741.8131,264810.1829,181786.275,279711.5786,39735.94287
PI(O-40:6) | PI(P-40:5),9760794.802,16505503.03,15160026.52,5749710.802,6225352.02,44991590.14,57428238.89,49895611.16,23233108.13,19312869.89,56021330.68,18200.38123
LPG(15:0) | PG(O-16:0)_2,2014.340118,1846.86013,6181.240234,1921.560143,1933.94014,1691.380119,1705.8601,1875.96014,1587.580109,1743.140102,1912.460136,1658.920128
FA(18:1),1269482.468,15387.74098,7960.440567,7951.100529,1058808.27,3087014.746,1224852.415,1072812.097,1853653.473,227361.5582,1195409.169,238230.0756
LPG(18:0) | PG(18:0),435044.8295,421355.288,473431.6178,307011.0614,849405.4376,340965.8259,320965.5448,248846.9355,300690.0217,283097.8596,286496.3202,256118.9769
