Sample,cKO_injured_1,cKO_injured_2,cKO_injured_3,cKO_injured_4,cKO_injured_5,cKO_healthy_1,cKO_healthy_2,cKO_healthy_3,cKO_healthy_4,cKO_healthy_5,cKO_healthy_6,Blank-1x
LPI(12:0) | PI(12:0),1162096.356,671785.1306,867691.3676,374957.5304,781152.4914,2249138.497,3794366.736,2132474.426,2314993.725,956636.7446,5636275.036,19044.0815
LPI(12:0) | PI(12:0)_3,1118133.281,651225.5531,859327.9139,412478.4709,779159.4633,2194125.324,3731174.936,2080178.516,2264145.535,1082342.088,5497082.325,17273.94103
LPS(21:0),183062.2539,140019.771,126380.111,823471.6687,182901.5327,222517.9763,227640.8131,185092.5116,215027.2574,156606.6504,209016.3754,55159.06396
PC(32:3),3022032.932,2223452.395,2265097.211,2659512.811,2538296.587,794215.1733,1523044.145,1697626.428,1974368.038,1464316.304,2044261.404,30471.70233
PC(O-34:4),3396784.467,2490272.873,2604581.127,2952792.41,2850356.585,939566.4343,1636739.599,1875554.213,2219193.519,1637819.922,2292310.293,28695.90201
PC(P-32:4),3260872.047,2384360.936,2520311.878,2931616.489,2742792.805,840958.2606,1646269.722,1860323.26,2157843.24,1602113.897,2230791.478,28278.1022
PG(38:7),934891.9833,767686.7729,741820.0867,590562.3015,1727262.138,679610.2668,586287.3376,430811.8501,576589.8801,591819.5375,507271.7325,42770.44293
SM(d18:1/18:1)9Z)),2978691.9,2209716.059,2298721.43,2669298.773,2508944.534,721415.8726,1520209.162,1704916.308,1969697.613,1448942.684,2086878.935,30199.34219
PC(O-34:2),3106042.227,2244151.904,2347120.774,2658826.004,2551573.935,848541.1874,1525967.164,1733383.536,2032360.114,1482420.805,2079090.947,29145.62201
PC(O-34:3),3314664.937,2379413.772,2499487.565,2888689.294,2761964.876,912845.5905,1632588.595,1815897.132,2197297.371,1599206.238,2222126.186,29839.90222
PS(22:7),190433.8535,145662.8916,125736.2085,827027.7214,187294.6339,225408.059,228461.7754,200671.855,217918.8763,154450.6702,221410.936,57104.58362
LPG(18:0) | PG(18:0)_2,424165.347,423176.3334,465551.5604,309533.7214,846380.126,334896.8013,325561.2402,259661.3956,293624.9576,298712.7228,287715.4408,249343.6391
PC(32:0),2987578.351,2226065.087,2270212.7,2648643.923,2525348.985,732898.8689,1517259.938,1711808.303,2036627.257,1470933.678,2094068.125,31963.28235
PC(32:1),2981648.007,2177018.591,2282235.294,2635576.641,2519609.203,765304.0653,1505209.529,1716691.254,1973187.816,1469355.889,2086780.561,30584.48239
LPI(12:0) | PI(12:0)_2,1096444.63,666261.7431,865796.3457,518399.7607,783576.9153,2225780.821,3763253.343,2123523.121,2358043.193,1003713.104,5626526.303,18575.88125
SM(d18:1/18:0),3016243.798,2200411.027,2251520.231,2666461.207,2526854.05,839684.5262,1511416.416,1717428.31,1991512.933,1471251.08,2106517.739,31011.60199
PC(32:2),2968187.504,2190517.235,2221344.598,2638058.666,2530548.899,815828.8995,1506915.349,1692060.085,1995818.99,1474620.751,2097074.429,29463.12234
SM(d18:0/18:0),2978589.013,2156461.065,2243006.372,2592749.868,2505839.111,746556.6899,1530888.427,1731438.328,1970291.788,1464747.488,2081728.119,33657.44226
SM(d18:2/18:1),3000773.357,2203977.493,2311608.693,2656179.366,2482159.969,818573.6844,1538281.797,1741830.65,1998817.25,1530671.023,2076448.945,29740.58191
PC(34:5),4746879.372,3569254.928,3944943.633,4352536.531,4156019.689,2034516.009,2404730.346,2865852.129,3182127.964,2350189.868,3233253.211,35443.6026
[TG(50:3)]_FA18:0,601187.6213,255879.3532,254092.994,273248.2384,492544.7206,1350712.867,1551913.169,1184674.25,1372232.352,770997.7845,1305334.647,23989.78181
LPS(18:0) | PS(18:0),501541.6764,462335.9404,525926.1925,260141.3552,1224876.277,453115.2119,438761.8792,282816.5992,385887.3118,294981.2972,356352.0824,90023.58618
LPS(18:0) | PS(18:0)_2,520176.6542,461026.2769,536274.9517,259917.7573,1209579.681,453047.2091,449427.7473,282664.6425,382620.9664,291840.8434,368017.1658,91770.22717
FA(24:5),2389622.01,1059367.071,1462845.286,1830471.136,3302428.781,28005625.03,3050610.218,1810146.645,4780553.716,1804504.929,2821938.869,505308.3322
PC(32:4),2547605.525,1920119.818,2029023.93,2270471.465,2133143.905,648552.5858,1391360.576,1548273.766,1792490.549,1333772.202,1778398.599,30874.52216
PC(34:4),5296121.709,3876439.715,4304725.169,4744341.9,4593682.175,2291834.276,2655644.197,3140179.583,3542419.138,2605261.031,3625906.326,36301.58252
PC(O-34:1),3068920.275,2208093.475,2344568.059,2684412.356,2573191.668,1231022.174,1535823.18,1747236.596,1990880.533,1488479.036,2083960.654,26734.44186
[TG(48:2)]_FA18:0,608329.3482,269293.3156,298637.9254,295397.7362,520869.6946,1417907.068,1640796.883,1263797.449,1415028.058,806961.6216,1402770.847,19089.68135
[TG(52:2)]_FA18:0,540007.1877,243320.377,251692.4569,270370.017,474620.7424,1718348.837,1307584.076,990802.7008,1225550.018,688003.5016,1160519.991,29991.12196
PS(38:7),1064837.673,852235.7889,821153.9137,691895.2021,1801805.115,786238.6221,703990.4474,518664.0487,697121.9739,624869.2457,624660.6399,48050.22308
[TG(50:4)]_FA18:1,568175.7472,256360.506,259637.4366,272204.119,490057.8342,1326708.666,1488753.011,1115699.535,1315439.138,764633.2416,1253595.531,26350.50177
[TG(48:3)]_FA18:1,604648.5393,257899.7553,273916.2353,299627.884,498339.2406,1345439.162,1585081.796,1217476.687,1335046.002,777981.8367,1334201.285,18693.48141
PC(O-34:0),3082733.95,2215035.85,2386524.037,2757648.106,2584840.419,1231862.218,1561723.472,1818973.335,2086874.807,1514213.659,2168566.159,27564.40201
Cer(d18:2/16:0),18109.32155,24456.00173,8592.460594,13974.00114,42939.76315,13808.54102,9683.400639,10868.8008,11003.48075,21645.04168,9841.740669,3684.100281
SM(d18:2/20:1),5069005.793,3700400.627,4042831.999,4579602.774,4402335.51,2229948,2600098.978,3047137.645,3460369.071,2518223.408,3587910.752,35437.54233
[TG(52:3)]_FA18:1,539356.0634,248940.6984,259961.9183,285523.9603,499462.8172,1892508.781,1283356.655,1004919.738,1213843.224,685983.6736,1099709.501,37349.22244
LPS(18:4),345854.4668,200092.074,186250.5722,187246.2326,310327.2391,907544.9294,921213.4202,980625.1599,954453.6456,257701.4616,912750.2357,45608.60339
PI(P-42:6),6461516.691,17255526.08,18745734.98,6594699.944,5668690.04,42508123.16,47161366.1,45378035.5,29601724.91,18907470.69,54119603.33,36373.20263
PG(O-38:0),834025.83,688381.2819,662957.1641,534137.2471,1359473.363,658681.7703,558728.8885,402958.2493,558153.7284,498250.5731,485537.3085,40358.74289
LPS(18:4)_2,348622.1416,204518.032,182960.1959,184890.0338,318011.7234,906224.0707,899141.97,983587.8857,947009.5001,260554.0578,910420.2751,47694.24353
PC(34:3),4930725.527,3657510.772,3985374.372,4435151.428,4307120.668,2216657.371,2581818.175,3056995.407,3458631.741,2559073.831,3594989.013,36984.2428
PI(34:5),52534.44328,163147.5499,148652.2305,50085.0835,78724.9055,459081.4647,497824.5078,540438.3962,78540.9267,93460.56723,414512.9485,84625.22752
PS(O-38:0),926165.1162,749064.9736,719805.538,623153.3079,1411264.146,715355.9116,621486.3107,455326.7944,633331.9805,523637.9236,571397.9624,46559.18347
[TG(58:7)]_FA20:0,1193952.213,812895.1039,809390.9869,591237.2935,3211269.421,817007.1791,848781.6657,641978.5014,815286.8728,1038695.674,712363.0148,21032.8815
[TG(50:4)]_FA18:0,372845.2251,158861.2905,161946.6511,163312.4724,321646.6819,824790.1989,814727.6661,576763.2109,822934.8435,473258.0782,899031.2823,15680.94104
FA(22:1),1382191.522,644429.5062,932272.3071,1048153.24,1700547.373,13455427.26,1840780.877,1091551.633,2633722.083,1314462.64,2262475.204,229673.7795
LPI(22:4) | PI(22:4),52720.96406,184691.0749,172969.8307,92960.48666,41234.70251,522526.3991,612699.4446,594325.4213,99976.04817,63002.0043,486231.1895,18227.84112
PC(34:6),3302444.643,2376734.737,2616901.267,2906492.775,2796620.291,1413285.311,1739050.456,2031327.706,2354467.658,1703578.491,2366519.938,30682.86209
PS(O-40:1),747515.7202,596887.7571,621121.5096,497704.1964,1053878.164,636284.0652,508824.7559,424375.9968,506704.5201,338789.2034,463845.9519,45290.28351
[TG(52:6)]_FA20:4,815595.1663,373757.4893,360703.2671,398002.0869,626279.2246,1765648.551,1899916.523,1482697.469,1853057.47,982738.3542,1712707.995,34597.9223
LPI(22:4) | PI(22:4)_2,51264.84296,181156.7945,174219.5746,93106.76489,36612.56215,500022.777,618299.7604,584896.296,97937.60509,61031.62497,483542.0403,16435.06118
[TG(56:1)]_FA16:1,10154861.31,4935965.158,5498001.907,4854731.852,7773520.016,17620801.03,22479305.12,25159602.33,22151790.11,11605932.07,26054808.21,55993.92398
[TG(56:0)]_FA16:0,13532199.39,6698605.981,7546538.573,6580106.05,10917222.05,24277129.01,30414151.84,32980807.31,30208624.7,15955434.16,35287124.81,38335.86292
[TG(54:6)]_FA20:4,596125.2098,272247.4858,270162.658,304640.0811,465593.2932,1576898.119,1301392.866,1013987.381,1315395.071,672935.0203,1185679.08,33546.82233
PI(42:11),85866.98645,194952.9742,198999.0113,82438.96596,141557.1111,603023.7672,598512.9135,574940.0615,297096.4416,215264.1158,510257.7592,11494.88085
PE(22:2),227208.0941,143915.1316,120869.9075,131786.4098,71940.08469,309080.3674,557899.4027,647332.5695,558229.27,89153.18776,574003.2858,696946.3247
SM(d16:1/22:1),3713609.887,2640769.955,2996350.874,3263427.315,3236123.124,1722294.82,2027131.556,2438078.128,2744059.011,1900544.102,2691116.417,32903.64224
SM(d18:1/24:0),3178284.787,2214492.698,2408933.047,2570409.607,2919575.661,1051504.924,1913174.329,2263619.086,2269212.398,1597279.88,2149476.915,47710.18414
PG(O-40:1),605833.2185,512652.0045,564115.3676,404811.1388,915070.0833,575349.1444,455489.7877,347716.6215,440635.7173,325446.3795,386543.9073,41911.22308
[TG(58:2)]_FA18:2,14522757.98,7144360.491,7980796.344,7442685.068,10733527.53,24904106.33,31517637.86,33447542.59,32016187.49,17440833.93,35838531.28,34402.92221
PC(38:0),3175606.264,2190932.837,2394254.239,2562076.689,2928115.587,1083873.862,1929736.71,2265602.239,2266513.319,1578414.174,2163357.211,46307.76361
PE(36:4),315044.9303,239435.4571,248198.1141,237525.3397,141073.8501,107887.9461,212581.1146,208012.6324,241764.0579,69710.60364,229443.452,25829.34183
PC(O-40:3),2894708.074,1976558.104,2234401.706,2343075.353,2789723.667,733179.5214,1828388.947,2137204.314,2149811.457,1510544.494,2043527.414,35153.16212
PI(40:0),14127795.7,14668621.92,15910811.91,5720412.717,5838348.019,39319658.07,43669141.5,42687910.47,25661635.67,16113002.43,50350217.96,61878.52436
PC(P-40:6),3184542.09,2198828.597,2429094.94,2578370.34,2926362.19,1222376.75,1951279.966,2238728.723,2258311.422,1581277.465,2140967.425,48881.74316
[TG(48:3)]_FA18:0,413837.6063,188228.2316,203749.0355,206565.0169,440898.1268,1000036.845,953803.6943,804451.1881,954750.6964,509447.2181,997175.6184,14379.94096
[TG(58:0)]_FA18:0,16941685.46,8334063.613,9357638.823,8262572.823,12826836.89,29874318.29,37181348.46,38858030.47,35300840.48,20109918.71,39952806.66,62522.96513
[TG(58:1)]_FA18:1,14970011.8,7245904.766,8027120.57,7598265.679,10805436.76,25206403.7,31739968.28,33737814.65,32279973.52,17527061.22,36101048.01,39814.78287
PC(36:8),3698300.699,2619647.462,3044893.677,3300136.753,3250656.783,1817627.004,2018886.474,2535285.258,2775993.114,1976605.536,2696842.547,37221.20248
PC(38:1),3197491.021,2220329.121,2403783.922,2580524.211,2879935.991,1185697.427,1913664.356,2263208.295,2257233.926,1600229.161,2186773.569,47498.62366
PC(38:2),3264913.556,2263954.733,2480296.586,2668805.464,3031084.419,1276938.886,1970708.155,2317956.419,2333731.677,1635358.067,2208968.346,47593.28302
PC(O-36:4),3480041.526,2514197.214,2890244.744,3076309.099,3127234.062,1653520.154,1944469.846,2387129.401,2682883.923,1843604.503,2599984.895,40997.84296
PE(20:1),302837.8566,221025.3173,231998.6552,215550.4741,115169.6877,141576.2512,202500.9713,178122.3724,211487.7376,68107.00488,191281.5927,26749.32217
PS(O-38:3)_2,869370.9513,706819.6458,644999.6285,593627.5038,1137555.011,735634.3021,611746.9537,453387.6714,604444.3649,422520.816,542770.0408,47597.30322
SM(d18:0/24:0),3206968.38,2169540.732,2383798.292,2571409.388,2965187.771,1233291.856,1938806.035,2215973.945,2261428.047,1587476.474,2152802.332,49763.74338
PC(O-36:1),3773837.004,2649629.253,3081027.594,3344393.765,3276795.413,1859218.716,2058304.234,2546875.419,2782872.746,2011266.207,2776149.457,37786.12268
LPG(15:0) | PG(O-16:0),1785.220127,1898.640133,5673.540329,1728.140125,1699.040119,2196.480156,1777.600124,1810.440125,2091.100143,1775.600121,2027.420143,1613.240116
PC(34:2),3109270.538,2227619.67,2561718.216,2856358.211,2831860.592,1476708.269,1788816.128,2176721.752,2437343.018,1661001.517,2343700.736,32992.38232
[TG(52:4)]_FA18:2,467182.3973,249669.5168,245540.5824,290224.1187,393700.7456,1546600.201,1016556.002,818058.2355,1092475.005,554155.8438,966923.7378,66437.64478
[TG(54:0)]_FA16:1,17033498.52,7462693.816,6561406.471,7619382.038,10284518.28,23345756.33,37373642.29,32742694.91,30177051.43,18122970.51,31406807.84,21543.62181
PC(34:0),3309371.391,2299819.887,2646358.363,2904257.58,2928636.142,1545344.667,1874007.826,2237009.279,2508824.78,1742564.252,2441810.737,35068.68243
PC(36:7),4066450.627,2936303.305,3324201.007,3688965.046,3617093.125,1965328.148,2262894.824,2833681.697,3142808.186,2219539.929,3083743.719,41668.50293
PC(P-36:5),3323110.523,2355729.882,2762652.009,2984512.174,2969360.023,1556006.016,1903888.668,2337491.476,2578860.136,1793458.8,2486739.345,32240.80228
PS(O-40:0),778765.7347,597583.7223,581331.24,507547.1624,939698.0928,648429.8912,522470.3556,387770.7059,555072.5194,348618.5222,497722.6497,49734.62341
PS(O-40:5),639108.8083,544369.9858,462537.9404,417799.7157,691362.775,499813.0592,452736.2736,351449.6033,424231.0096,278663.5975,399683.985,40519.42273
SM(d18:1/20:0),3100785.279,2227652.905,2542142.733,2762020.337,2787082.217,1449068.98,1780016.595,2170607.973,2401903.228,1675934.751,2312095.682,33925.90201
[TG(56:0)]_FA18:1,22763616.11,9078899.434,8510687.674,10621430.59,13838670.15,31737839.2,46260402.57,40164915.88,40988279.84,26152564.2,41977756.17,26405.18188
PC(O-40:6),2968948.176,2039976.292,2271629.693,2358313.44,2811170.027,1059083.739,1868383.981,2200475.614,2156903.385,1505188.054,2064963.711,46563.84338
PC(34:1),3172888.056,2257026.984,2623658.858,2856862.575,2855125.764,1578220.144,1825510.538,2280124.731,2436536,1684037.282,2387233.801,32350.02237
[TG(56:1)]_FA18:2,22901621,9127873.376,8582810.704,10757137.82,13722288.09,32168178.13,46075979.27,40107920.46,40840682.52,25848342.66,42232348.14,25791.48166
PC(40:7),2768178.479,1895903.572,2044068.012,2205884.287,2493835.285,664300.2661,1808768.954,2106112.221,2048788.876,1386824.615,1989416.78,24595.86177
PC(O-40:4),2911567.019,2039439.889,2244030.588,2332759.848,2819421.426,1051309.284,1867414.866,2184648.957,2194880.956,1478962.328,2059221.198,51790.26366
SM(d18:1/24:1)15Z)),3498858.352,2426387.326,2716669.84,2890806.127,3299587.333,1531410.596,2168415.958,2598429.406,2568155.622,1771991.74,2427108.528,46119.3233
SM(d18:0/20:0),3163188.484,2278629.191,2693550.896,2858379.853,2931981.478,1573225.629,1869091.848,2268323.755,2516999.782,1721037.161,2441254.792,35430.8822
SM(d18:2/22:1),5947126.057,4270908.216,4941764.502,5358140.328,5443079.941,2936006.213,3467404.009,4430444.027,4571451.866,3182644.33,4475212.825,46068.32318
PC(O-36:3),3149876.623,2261456.786,2632094.065,2845983.193,2866043.375,1598360.999,1844972.784,2221521.674,2522125.938,1704318.635,2366199.523,36524.70227
PC(O-36:5),3436580.479,2461396.958,2784616.269,2977059.944,3097324.665,1639288.934,1968598.136,2422850.386,2651922.222,1848445.149,2556817.318,37368.78271
[TG(52:6)]_FA18:1,221895.6561,116584.6097,122959.3072,106168.2677,240803.0793,519037.4551,594128.7405,541228.1434,493743.8179,215569.8371,481276.6343,841502.9496
PC(40:10),2921439.047,1985117.113,2248725.801,2319884.724,2793004.903,1083625.568,1837611.294,2184549.085,2120631.108,1487596.343,2104351.383,35397.58264
PC(O-36:0),4134113.685,2940258.567,3331405.159,3689923.738,3535821.862,1951657.444,2323047.621,2943399.844,3139590.397,2229636.376,3135165.048,40779.40289
PC(O-36:2),3093681.539,2192379.111,2531977.401,2714745.699,2802477.479,1526952.154,1793340.423,2196549.901,2363489.222,1670603.067,2323883.609,37861.30249
PC(O-40:0),2769741.282,1902081.208,2049960.135,2185558.264,2471695.244,673540.4181,1819900.403,2100767.936,2052792.771,1399302.69,1987480.118,26028.24184
PC(O-40:5),2950023.207,2001270.495,2265223.088,2327133.996,2793352.018,1145574.772,1863265.371,2186028.208,2157456.284,1504913.071,2041822.682,51140.32354
PC(O-40:2),2761779.652,1884523.507,2127722.204,2243462.375,2630223.38,1060981.259,1790697.036,2050844.535,2042748.441,1429920.395,1959343.226,28992.68208
PC(36:4),5859871.656,4166006.717,4928429.068,5326818.187,5407778.341,3063895.676,3486194.851,4415434.516,4533188.754,3155013.253,4426323.831,45916.02332
PS(38:3),524307.2985,390829.604,380237.4331,386053.0267,585991.1696,433856.4895,339088.8283,273735.8391,381060.7506,231486.5774,372381.5659,40466.62286
LPG(14:1) | PG(14:1),2008.880135,1758.880123,1916.66013,2368.260166,2146.060146,2589.500206,2860.180218,10380.52066,2700.660206,2352.820179,16957.14112,1523.680122
PC(40:6),2599622.394,1766602.765,1931347.024,2081525.354,2385286.303,913379.842,1707293.968,1973346.202,1928141.33,1283825.679,1796041.456,25170.64195
SM(d18:2/24:1),4432638.442,3074252.196,3541763.168,3679078.275,4268765.623,2323824.851,2700170.913,3392517.763,3319192.508,2259158.15,3075401.232,51917.0636
PC(40:9),2719154.208,1895049.499,2116041.855,2216549.324,2609332.925,1108537.688,1778382.977,2049661.182,2018284.946,1424684.773,1987202.117,25843.32189
PS(36:1),1722052.998,1070489.873,996815.1702,1060726.782,2813725.918,1717619.039,926506.7861,756663.4958,1211875.149,782949.1909,1316162.513,76853.38525
PC(38:6),5399283.686,3798998.373,4357718.146,4678335.669,4935112.506,2675003.29,3171323.973,4119104.082,4097294.625,2949169.587,3949481.965,52991.6236
PG(O-38:1),719892.3093,584525.4962,560559.4537,471853.7307,984398.5046,657380.3698,523645.2992,387177.7514,543746.2618,404409.0475,451632.9948,47064.94321
PC(38:3),4100862.496,2891057.776,3246209.62,3370816.802,3918487.734,1973022.438,2606891.929,3242005.463,3088577.267,2100981.313,2940345.912,51096.50342
PC(O-40:1),2807187.971,1896074.812,2105855.427,2256153.488,2566827.358,1077084.8,1847705.515,2121604.748,2065120.284,1440841.496,2017045.839,27401.222
PC(36:6),4622550.665,3309854.3,3825763.151,4178643.46,4086452.663,2208464.651,2759432.023,3540431.814,3670704.879,2596043.348,3635145.478,45957.18323
PC(38:5),4634060.522,3253475.023,3786170.159,3962445.392,4432825.794,2160098.84,2877137.427,3796305.046,3695267.088,2503232.441,3317639.085,57256.98389
PC(40:8),2783801.632,1903796.383,2116156.376,2227154.841,2592374.226,1153107.767,1834251.972,2112437.829,2073194.409,1432233.106,1997438.739,25965.422
PI(14:1),9086.820683,10682.18069,7089.800339,6383.600372,9735.280632,5730.500393,5813.180401,3437.480209,3946.400269,11006.1007,6623.500454,1559.740112
PE(38:1),373169.2867,299613.1593,294535.9061,264987.4419,235042.9978,123536.109,297186.6019,279625.4386,313050.464,90142.72681,306097.2971,33115.08237
[TG(56:0)]_FA18:2,922416.806,398026.8444,394127.9073,443083.2059,654136.0737,1266372.421,2058693.426,1684551.905,1691829.623,987604.915,1766726.481,23849.30176
PC(36:5),5582755.886,3887409.683,4596812.635,4967201.674,4900657.419,2621872.366,3310126.771,4338959.704,4497299.891,3103754.928,4251185.797,47576.38324
PC(40:5),2475831.93,1723403.716,1907741.196,1953131.21,2307044.864,1101445.324,1690213.355,1937291.478,1832021.315,1237049.941,1734867.299,138808.1704
[TG(52:3)]_FA20:0,288847.9579,130021.1889,114097.2877,119170.2271,253792.9995,575228.5398,526210.9378,378832.1923,604610.6419,278304.6989,654291.5647,16151.1209
PC(38:4),4631824.736,3281222.172,3739621.914,3909372.064,4436274.564,2421158.132,2912039.428,3753218.366,3624192.171,2441552.01,3374823.266,57586.38458
PE(38:8),401448.75,332585.3459,300888.4789,270223.2771,264894.7801,129957.929,330499.6626,308094.0651,355578.6012,90210.0862,321736.1653,38673.56226
PS(40:7),787917.8518,579070.2198,563709.038,509667.0944,937344.1467,680571.7407,563013.4972,424329.3716,577384.2749,362760.3264,539654.9213,46177.22339
PS(40:8),620678.2725,512369.108,552752.1357,396967.876,956002.6145,596312.0634,503330.1981,411789.2103,497886.7366,340394.8824,462012.2798,50383.16345
PG(40:8),513488.6837,442699.1339,495722.7399,324461.7185,833522.1393,527331.4584,426065.3895,340094.6243,430192.5663,316594.62,370471.5697,42435.80301
[TG(52:3)]_FA18:0,428227.483,184975.9161,197276.0554,193150.7728,388032.9619,885237.4424,851974.3699,623879.5054,811254.4336,494835.3297,848070.6503,18849.56136
PS(38:1),1345021.77,1042446.904,935935.3774,912082.5703,1943980.671,1237210.776,944537.5447,922251.9193,1036863.833,722160.8132,853512.563,56040.34399
[TG(58:1)]_FA18:2,790054.1446,408710.4476,431408.9507,407163.6278,673214.7448,1294782.2,1621446.942,1663642.742,1633196.461,865938.9765,1817577.063,18057.00131
LPG(14:1) | PG(14:1)_2,2075.160145,1944.380135,1868.020134,1884.480145,2095.660152,2803.800198,2939.440197,9067.040775,2931.520187,2123.900154,14159.60101,1640.780117
FA(20:5),7958.200542,83993.9458,656854.9282,547120.2026,7977.960598,8941.320583,910609.2207,8623.160564,691836.4114,7946.120533,7940.680588,7982.24062
PC(O-38:0),4728452.408,3356138.792,3786038.661,4108741.588,4294999.299,2347082.178,2889046.817,3811763.825,3837038.547,2739306.794,3653830.975,49674.60309
[TG(58:0)]_FA18:1,807772.2267,396250.3637,438966.8843,424214.2068,682621.9576,1278692.226,1600110.723,1714015.161,1639081.443,901911.0833,1809140.183,20367.22137
PC(38:7),4631429.026,3264712.128,3785823.854,4021927.904,4212930.693,2253422.469,2871920.035,3738011.377,3797404.368,2705693.849,3672101.519,53051.94336
LPE(16:0),211429.8523,137249.7112,113508.5872,133659.9516,74708.86617,288526.245,594556.8185,477509.8158,454228.0702,134678.7274,364490.5196,22936.18158
PC(36:3),4234333.371,3061520.918,3461120.647,3784004.623,3808251.521,2156374.144,2674692.458,3486703.618,3527060.426,2416390.315,3386419.768,42623.10272
LPE(22:2),314167.528,192465.3909,173143.9736,173080.1525,97884.7877,349752.8105,653482.5439,767312.0092,669073.0039,125076.8518,714920.3575,755372.8701
PG(38:3),458651.4962,353157.7874,370738.8069,341102.6609,514746.4818,463779.0135,311934.8413,252293.1561,340410.0054,269671.4578,304102.7223,34165.06238
