Sample,cKO_injured_1,cKO_injured_2,cKO_injured_3,cKO_injured_4,cKO_injured_5,cKO_healthy_1,cKO_healthy_2,cKO_healthy_3,cKO_healthy_4,cKO_healthy_5,cKO_healthy_6
FA(20:0),0.0,0.0007223907113700948,0.007695735510510226,0.008996279480631857,0.0,0.0,8.215921014729591e-05,0.0,0.0,0.0,0.0
FA(19:0),0.0,9.544577543756513e-05,0.0005025605321601093,0.0004413390819048568,3.4916487727638938e-06,0.0018007291394942023,0.010667809249617206,7.392371751295278e-06,0.010750286685233939,0.0,0.0
LPG(19:0),7.210435563916665e-05,5.7831910272489976e-05,4.306554167842965e-05,0.0028654040056573663,9.165036019007326e-05,6.499907683897475e-05,6.482062384749567e-05,4.569814200421377e-05,5.880658537140749e-05,4.542600818400739e-05,4.4546752352855014e-05
PG(O-20:0),7.225456447000428e-05,5.7353291489245547e-05,4.249435698534145e-05,0.002821668647730629,8.184029705484615e-05,6.583645603017244e-05,6.403099769919958e-05,3.38495011427275e-05,5.992400589572202e-05,4.490540919849476e-05,4.836957775016117e-05
FA(18:2),0.0008217508294891936,0.0,0.0,0.0,0.003263483714339521,0.021602581492689933,0.001056544364787916,0.0006048203692541112,0.0024935135814025127,0.0011477042570434567,0.0011055912889202993
LPS(19:0),9.412590315826959e-05,6.52970261209685e-05,2.752226420004446e-05,0.002756902268107271,0.0001343182446255713,8.628123487324543e-05,0.00010042884441838542,5.269145071081431e-05,8.094799029715928e-05,5.0137753486227104e-05,5.8754512718573165e-05
PS(O-20:0),0.00011865294146681696,8.543246585495424e-05,6.446288078824084e-05,0.002663180806964982,0.00013673285208970983,9.611534595964229e-05,0.00010913708060976568,6.750191110493271e-05,9.898598110236047e-05,6.814805680588801e-05,7.480716747940436e-05
FA(20:3),0.0,0.0002849345038255336,0.0008809290870317493,0.0008361087001942664,0.0,0.0,0.0006046161819132302,0.0,8.976654247815565e-06,0.0,0.0
PI(38:7),0.0008246768798056274,0.002619926357815603,0.0041389731635633475,0.0013385745325686779,0.0032913216759873245,0.0003069442262734029,0.0002423073679826705,0.00020320605401256554,7.848132182963995e-05,0.002732636392314309,0.00022646748688314808
FA(20:1),0.0,0.00017487614948248916,0.0026884492462622813,0.0036253541661426885,0.0,0.0,0.0022914928464862036,0.0,4.407439137341571e-07,0.0,0.0
