type,Down_FDR,Up_FDR,Down_Pvalue,Up_Pvalue,Down_Pvalue_01,Up_Pvalue_01
CAR,0,0,0,0,0,0
CE,0,0,0,0,0,0
Cer,0,2,0,2,0,2
FA,0,0,1,2,1,1
PC,0,0,0,0,0,0
PE,0,0,1,0,1,0
PG,0,2,1,4,0,4
PI,0,0,1,0,0,0
PS,0,2,2,6,0,6
SM,0,0,0,0,0,0
TAG,0,0,0,6,0,1
