type,Down_FDR,Up_FDR,Down_Pvalue,Up_Pvalue,Down_Pvalue_01,Up_Pvalue_01
CAR,0,4,0,29,0,11
CE,0,0,0,7,0,3
Cer,1,1,1,22,1,7
FA,3,7,4,16,4,11
PC,0,0,0,24,0,13
PE,1,0,3,6,2,2
PG,2,1,4,11,2,3
PI,0,3,2,4,1,3
PS,2,0,2,6,2,1
SM,0,0,0,8,0,4
TAG,1,3,26,6,3,4
