type,Down_FDR,Up_FDR,Down_Pvalue,Up_Pvalue,Down_Pvalue_01,Up_Pvalue_01
CAR,0,0,0,0,0,0
CE,0,0,0,0,0,0
Cer,0,2,0,5,0,5
FA,0,7,1,9,0,8
PC,0,0,0,0,0,0
PE,0,0,3,0,0,0
PG,0,0,2,1,0,1
PI,0,0,0,0,0,0
PS,0,0,1,1,0,1
SM,0,0,0,0,0,0
TAG,0,0,0,0,0,0
