"lipid","type","mean1","mean2"
"FA(20:0)","FA",2645208.7996727,20193.6882813772
"FA(19:0)","FA",159050.226270294,5568551.37692324
"LPG(19:0)","PG",472560.298425293,73909.6081136068
"PG(O-20:0)","PG",464061.224072266,72382.6958007812
"FA(18:2)","FA",797993.487854004,6478147.7185065
"LPS(19:0)","PS",467944.656469727,98920.0835062663
"PS(O-20:0)","PS",468406.828955078,117899.401326497
"FA(20:3)","FA",304643.589453888,150715.699865341
"PI(38:7)","PI",2045083.36009674,649460.757647196
"FA(20:1)","FA",983881.426151276,563323.316429774
"[TG(54:7)]_FA16:0","TAG",2543430.69627075,842339.877166748
"[TG(56:8)]_FA18:1","TAG",2291269.90987549,806204.817220052
"[TG(56:7)]_FA18:0","TAG",2913582.19317932,1079535.31370544
"PG(18:4)","PG",0,0
"LPG(18:4)","PG",0,0
"[TG(54:8)]_FA16:1","TAG",1811265.49102173,772956.880701701
"LPG(21:0)","PG",210790.65435791,108644.961039225
"PG(20:0)","PG",214351.026489258,111265.194325765
"PI(O-40:5) | PI(P-40:4)","PI",587477.080444336,2858049.48687235
"FA(15:1)","FA",145628.794909668,0
"PI(O-42:6)","PI",1113400.29053497,4782369.12431335
"PS(O-40:4)","PS",399898.935791016,217824.255666097
"PI(O-40:6) | PI(P-40:5)","PI",10662077.0531738,41795591.1001383
"LPG(15:0) | PG(O-16:0)_2","PG",1120.66802520752,105.699993133545
"FA(18:1)","FA",370366.117407227,1207098.58700053
"LPG(18:0) | PG(18:0)","PG",241130.669995117,41936.7813212077
"LPI(12:0) | PI(12:0)","PI",752492.493737793,2828270.11263657
"LPI(12:0) | PI(12:0)_3","PI",746790.995411682,2790900.84641012
"LPS(21:0)","PS",236008.003491211,147491.200073242
"PC(32:3)","PC",2511206.68468018,1552500.2130127
"PC(O-34:4)","PC",2830261.59037476,1738168.09468587
"PC(P-32:4)","PC",2739712.72892456,1694771.87414551
"PG(38:7)","PG",909674.213537598,519294.657836914
"SM(d18:1/18:1)9Z))","SM",2502875.1970398,1545144.08670044
"PC(O-34:2)","PC",2552397.34663086,1587815.00352987
"PC(O-34:3)","PC",2739004.18648682,1700153.61653646
"PS(22:7)","PS",238126.478173828,150949.111704508
"LPG(18:0) | PG(18:0)_2","PG",244417.778540039,50685.1206156413
"PC(32:0)","PC",2499606.52687988,1561969.41258748
"PC(32:1)","PC",2488633.06484985,1555503.7032369
"LPI(12:0) | PI(12:0)_2","PI",767519.997648621,2831564.09935506
"SM(d18:1/18:0)","SM",2501286.46055908,1575290.23219808
"PC(32:2)","PC",2480268.25808716,1567589.9614563
"SM(d18:0/18:0)","SM",2461671.64351807,1553951.03075155
"SM(d18:2/18:1)","SM",2501199.19361572,1587696.64312744
"PC(34:5)","PC",4118483.22806396,2643001.31883748
"[TG(50:3)]_FA18:0","TAG",351400.803689575,1231987.72981771
"LPS(18:0) | PS(18:0)","PS",504940.70222168,278628.810770671
"LPS(18:0) | PS(18:0)_2","PS",505624.837060547,279499.53523763
"FA(24:5)","FA",1503638.52481232,6540254.90231069
"PC(32:4)","PC",2149198.40655518,1384600.1907959
"PC(34:4)","PC",4526760.55112305,2940572.50917562
"PC(O-34:1)","PC",2549102.72505493,1652832.58701579
"[TG(48:2)]_FA18:0","TAG",379415.922631836,1305453.97311401
"[TG(52:2)]_FA18:0","TAG",326011.034231567,1151810.39879354
"PS(38:7)","PS",998335.315466309,611207.273193359
"[TG(50:4)]_FA18:1","TAG",342936.626812744,1184454.35205587
"[TG(48:3)]_FA18:1","TAG",368192.849478149,1247177.64680481
"PC(O-34:0)","PC",2577792.07044067,1702804.53943888
"Cer(d18:2/16:0)","Cer",17930.2093528748,9124.40064430237
"SM(d18:2/20:1)","SM",4323397.79810181,2871843.76671346
"[TG(52:3)]_FA18:1","TAG",329299.869073486,1159371.03980509
"LPS(18:4)","PS",200345.513562012,776772.871999105
"PI(P-42:6)","PI",10908860.3444473,39576347.4120979
"PG(O-38:0)","PG",775436.234344482,486693.010121663
"LPS(18:4)_2","PS",200106.181817627,770128.716379802
"PC(34:3)","PC",4226192.31071777,2874376.68027751
"PI(34:5)","PI",28509.8650817871,263698.624458313
"PS(O-38:0)","PS",839331.432946777,540196.9637146
"[TG(58:7)]_FA20:0","TAG",1302716.12227173,791319.269866943
"[TG(50:4)]_FA18:0","TAG",220041.523178101,719569.938939412
"FA(22:1)","FA",911845.010163879,3536729.50325584
"LPI(22:4) | PI(22:4)","PI",90687.5706512451,378232.243382772
"PC(34:6)","PC",2769155.88058472,1904022.0646464
"PS(O-40:1)","PS",658131.185925293,434513.798706055
"[TG(52:6)]_FA20:4","TAG",480269.524523926,1581529.80465698
"LPI(22:4) | PI(22:4)_2","PI",90837.0466491699,374519.956116994
"[TG(56:1)]_FA16:1","TAG",6587422.12376099,20789379.2227478
"[TG(56:0)]_FA16:0","TAG",9016598.54552002,28148876.1060588
"[TG(54:6)]_FA20:4","TAG",348206.923254395,1144167.76716105
