"lipid","type","mean1","mean2"
"FA(20:1)","FA",563323.316429774,611.924032592773
"Cer(d20:0/26:0)","Cer",346705.938070933,60590.4237411499
"FA(18:4)","FA",1537763.83945719,250457.252816772
"FA(18:2)","FA",6478147.7185065,1429828.75038452
"Cer(t18:0/26:0(2OH))","Cer",91791.2154947917,21151.8332054138
"FA(20:0)","FA",20193.6882813772,0
"FA(24:5)","FA",6540254.90231069,2098714.39401093
"FA(20:4)","FA",158932.318787893,63533.0525993347
"FA(22:1)","FA",3536729.50325584,1442004.88099213
"Cer(d18:1/18:1(9Z))","Cer",56320.3542582194,28569.9539146423
"Cer(d18:1/18:0)","Cer",59558.2671902974,31180.250126648
"CerP(d18:1/12:0)","Cer",56052.4167982737,30390.3023582458
"PG(32:5)","PG",258693.232177734,125754.322180176
"PS(32:5)","PS",299344.675059001,148177.490795898
"FA(20:3)","FA",150715.699865341,78951.8696807861
"(11Z)-eicoseneoylcarnitine","CAR",1325209.81180573,947001.106373596
"(11Z,14Z)-eicosadienoylcarnitine","CAR",1229600.09014002,894249.623973846
"(13Z,16Z)-docosadienoylcarnitine","CAR",1318270.22197978,972693.411373901
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine","CAR",2381419.24194082,2145177.76445465
"(5Z,8Z)-tetradecadienoylcarnitine","CAR",822126.837860107,538825.872485352
"(7Z,10Z)-hexadecadienoylcarnitine","CAR",1266006.07731247,963095.454479218
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine","CAR",1255179.16658147,949787.152877045
"(9Z)-3-hydroxyoctadecenoylcarnitine","CAR",5283050.93017324,4213372.00617828
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine","CAR",1999808.54177348,1643161.22118225
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine","CAR",5083754.51623535,4180223.42871094
"[TG(48:0)]_FA16:0","TAG",774988.793660482,713194.607885742
"[TG(48:0)]_FA16:1","TAG",236084.84294637,241219.3605896
"[TG(48:0)]_FA18:0","TAG",560526.655151367,528306.318182373
"[TG(48:0)]_FA18:1","TAG",499010.55355835,508418.654618835
"[TG(48:0)]_FA18:2","TAG",216397.356664022,192179.222335815
"[TG(48:1)]_FA16:0","TAG",534673.672810872,459538.735375977
"[TG(48:1)]_FA16:1","TAG",684278.473592122,640546.464404297
"[TG(48:1)]_FA18:0","TAG",778864.169525146,702639.836856079
"[TG(48:1)]_FA18:1","TAG",500184.261067708,472728.026940918
"[TG(48:1)]_FA18:2","TAG",362105.781702677,364330.19418335
"[TG(48:2)]_FA16:0","TAG",240256.094248454,228370.293463135
"[TG(48:2)]_FA16:1","TAG",536471.899831136,450888.112231445
"[TG(48:2)]_FA18:0","TAG",1305453.97311401,1064624.54664917
"[TG(48:2)]_FA18:1","TAG",813810.55804189,726114.334565735
"[TG(48:2)]_FA18:2","TAG",404071.867757161,363383.510986328
"[TG(48:3)]_FA16:0","TAG",210852.237055461,196279.017880249
"[TG(48:3)]_FA16:1","TAG",225222.422007243,214819.962664795
"[TG(48:3)]_FA18:0","TAG",855564.269091288,706597.917123413
"[TG(48:3)]_FA18:1","TAG",1247177.64680481,1032740.86310577
"[TG(48:3)]_FA18:2","TAG",619735.858083089,548270.414001465
"[TG(50:0)]_FA16:0","TAG",526417.666849772,537209.309362793
"[TG(50:0)]_FA16:1","TAG",284398.042622884,279854.211340332
"[TG(50:1)]_FA18:0","TAG",853999.519002279,754422.252502441
"[TG(50:1)]_FA18:1","TAG",342123.087895711,329749.114337158
"[TG(50:1)]_FA18:2","TAG",178349.496098836,160903.894815063
"[TG(50:2)]_FA16:0","TAG",606971.582377116,471132.422839355
"[TG(50:2)]_FA16:1","TAG",532831.576253255,536333.337475586
"[TG(50:2)]_FA18:0","TAG",620319.623819987,536528.525866699
"[TG(50:2)]_FA18:1","TAG",989765.036702474,879915.996362305
"[TG(50:2)]_FA18:2","TAG",247811.276606242,232098.724359131
"[TG(50:3)]_FA16:0","TAG",415810.588902791,335409.683294678
"[TG(50:3)]_FA16:1","TAG",610675.762186686,467395.500842285
"[TG(50:3)]_FA18:0","TAG",1231987.72981771,980872.938070679
"[TG(50:3)]_FA18:1","TAG",697916.297353109,589116.169018555
"[TG(50:3)]_FA18:2","TAG",795219.542317708,678321.864306641
"[TG(50:4)]_FA16:0","TAG",318277.108642578,295463.344171143
"[TG(50:4)]_FA16:1","TAG",410849.747385661,326256.806933594
"[TG(50:4)]_FA18:0","TAG",719569.938939412,579491.020285034
"[TG(50:4)]_FA18:1","TAG",1184454.35205587,958919.601977539
"[TG(50:4)]_FA18:2","TAG",537622.717102051,440850.785095215
"[TG(52:0)]_FA16:0","TAG",591066.07804362,639183.803430176
"[TG(52:0)]_FA16:1","TAG",285212.560684204,298355.348126221
